Phrase ^ Count
saith the lord  ^ 731
saith unto him  ^ 53
this thing  ^ 52
in my  ^ 52
unto you  ^ 52
but he  ^ 52
for thus saith  ^ 52
the lord our god  ^ 51
from the dead  ^ 51
thee and  ^ 51
the chief priests  ^ 51
and said unto them  ^ 51
all israel  ^ 50
to the king  ^ 50
with them  ^ 50
unto you that  ^ 50
lord and  ^ 50
unto the people  ^ 50
heaven and  ^ 50
of the earth  ^ 50
of jesus christ  ^ 49
among you  ^ 49
the same  ^ 49
in all  ^ 49
jesus and  ^ 49
in his  ^ 49
behold i  ^ 49
and moses said  ^ 49
saying thus  ^ 48
not that  ^ 48
in heaven  ^ 48
with his fathers  ^ 48
and when the  ^ 48
when the  ^ 48
at that time  ^ 47
in the house of the lord  ^ 47
and say unto  ^ 47
the king of babylon  ^ 47
with her suburbs  ^ 47
as the  ^ 46
other gods  ^ 46
from the lord  ^ 46
with a loud voice  ^ 46
i the lord  ^ 46
which the lord thy god  ^ 46
as the lord commanded  ^ 46
of the lord which  ^ 45
three days  ^ 45
of our lord  ^ 45
in this  ^ 45
king of babylon  ^ 45
the people that  ^ 44
of the lord thy god  ^ 44
that thou  ^ 44
in you  ^ 44
the holy  ^ 44
written in  ^ 44
saying speak  ^ 44
one of  ^ 44
came unto me saying  ^ 44
and all israel  ^ 43
the house of the lord  ^ 43
of him  ^ 43
jerusalem and  ^ 43
this place  ^ 43
this city  ^ 43
all this  ^ 42
of israel saying  ^ 42
the name  ^ 42
people and  ^ 42
the pharisees  ^ 42
jesus saith  ^ 42
saith unto them  ^ 42
his mercy endureth forever  ^ 41
o lord god  ^ 41
if a man  ^ 41
and this  ^ 41
the house  ^ 41
of our lord jesus  ^ 41
all the days  ^ 41
i command  ^ 41
his son reigned  ^ 40
and many  ^ 40
the body  ^ 40
according to the  ^ 40
with you  ^ 40
with me  ^ 40
which is in  ^ 40
him for  ^ 40
not and  ^ 40
the lord behold  ^ 40
i know that  ^ 40
me saying son  ^ 40
my father  ^ 40
his son reigned in his stead  ^ 40
and all the  ^ 40
me saying son of man  ^ 40
to david  ^ 39
upon the altar  ^ 39
of you  ^ 39
of the world  ^ 39
if the  ^ 39
not of  ^ 39
before the  ^ 39
holy ghost  ^ 39
before the king  ^ 39
of hosts the god  ^ 39
he said unto  ^ 39
all the words  ^ 39
the way  ^ 39
of them  ^ 39
the disciples  ^ 39
chief priests and  ^ 39
saying speak unto  ^ 39
three hundred  ^ 38
before god  ^ 38
to another  ^ 38
if any man  ^ 38
christ and  ^ 38
but now  ^ 38
the word of god  ^ 38
fear not  ^ 38
in me  ^ 38
the high priest  ^ 38
then the  ^ 38
the son of god  ^ 38
of hosts the god of israel  ^ 38
over all  ^ 37
heard that  ^ 37
of the children of ammon  ^ 37
into the land  ^ 37
the man of god  ^ 37
sea and  ^ 37
the gospel  ^ 37
and of the  ^ 37
old and upward  ^ 37
after the  ^ 37
in the temple  ^ 37
that god  ^ 36
word of god  ^ 36
the first  ^ 36
the voice of the lord  ^ 36
written in the book  ^ 36
the city  ^ 36
the multitude  ^ 36
one of the  ^ 36
in the book of the chronicles  ^ 36
saying thus saith  ^ 36
the earth and  ^ 36
and came to  ^ 35
of god for  ^ 35
the brethren  ^ 35
us and  ^ 35
the truth  ^ 35
slept with  ^ 35
the book of the chronicles  ^ 35
the king of israel  ^ 35
on him  ^ 35
god behold  ^ 35
house and  ^ 35
temple and  ^ 35
the seven  ^ 35
scribes and  ^ 35
in their  ^ 35
slept with his fathers  ^ 35
for his mercy  ^ 34
thousand men  ^ 34
you but  ^ 34
the woman  ^ 34
the whole  ^ 34
of all  ^ 34
among the  ^ 34
not unto  ^ 34
the lord said  ^ 34
are they not  ^ 34
of the chronicles of the kings  ^ 34
and the lord  ^ 34
the lord jesus  ^ 34
the tabernacle of the congregation  ^ 34
and john  ^ 34
and when he  ^ 34
am the lord your god  ^ 34
this is the  ^ 34
saith the lord behold  ^ 34
the book of the chronicles of the kings  ^ 34
unto me saying son  ^ 34
the lord of hosts the god  ^ 34
the ark of the covenant  ^ 33
of the house of god  ^ 33
the man  ^ 33
but when  ^ 33
in your  ^ 33
and that  ^ 33
that ye  ^ 33
which is  ^ 33
god for  ^ 33
with god  ^ 33
not written  ^ 33
the king  ^ 33
the god  ^ 33
city and  ^ 33
the chief priests and  ^ 33
for his mercy endureth forever  ^ 33
unto david  ^ 32
of the covenant of the lord  ^ 32
into the house of the lord  ^ 32
all these things  ^ 32
the church  ^ 32
and now  ^ 32
you all  ^ 32
who is  ^ 32
it and  ^ 32
ye also  ^ 32
for it  ^ 32
not but  ^ 32
this man  ^ 32
of the lord of hosts  ^ 32
are they not written  ^ 32
of the people  ^ 32
this land  ^ 32
the throne  ^ 32
disciples and  ^ 32
the name of the lord  ^ 32
years and begot  ^ 32
and saith  ^ 32
mingled with oil  ^ 32
the sea and  ^ 32
a psalm of david  ^ 32
not written in  ^ 32
moses saying speak  ^ 32
all the congregation  ^ 31
of the kings of israel  ^ 31
for you  ^ 31
our lord  ^ 31
world and  ^ 31
the other  ^ 31
the wilderness  ^ 31
and one  ^ 31
saying this  ^ 31
that he  ^ 31
king of egypt  ^ 31
in the midst  ^ 31
upon all  ^ 31
and it came to pass when  ^ 31
and five hundred  ^ 31
in the name  ^ 31
the prophets  ^ 31
the ship  ^ 31
me saith the lord  ^ 31
and they said  ^ 31
kingdom of heaven  ^ 31
i say unto you that  ^ 31
and jesus said  ^ 31
the ark of the lord  ^ 30
of the lord god  ^ 30
you in  ^ 30
and as  ^ 30
and their  ^ 30
his brother  ^ 30
that he did  ^ 30
of the house of israel  ^ 30
that this  ^ 30
the commandment of the lord  ^ 30
and great  ^ 30
until the even  ^ 30
unto them and  ^ 30
and immediately  ^ 30
and after  ^ 30
he answered  ^ 30
one the king  ^ 30
and he said unto them  ^ 30
and twenty thousand  ^ 29
the ark of god  ^ 29
the grace  ^ 29
the gentiles  ^ 29
as it is written  ^ 29
the apostles  ^ 29
we know that  ^ 29
against the  ^ 29
and with  ^ 29
son of god  ^ 29
saying what  ^ 29
years in jerusalem  ^ 29
the son of nun  ^ 29
god of hosts  ^ 29
those days  ^ 29
and saul said  ^ 29
and no man  ^ 29
the king of assyria  ^ 29
them thus saith  ^ 29
behold the  ^ 29
and in the  ^ 29
come and  ^ 29
the scribes  ^ 29
lambs of the first  ^ 29
years old and upward  ^ 29
them thus saith the lord  ^ 29
lambs of the first year  ^ 29
the lord god behold  ^ 29
was with  ^ 28
and god said  ^ 28
all nations  ^ 28
blessed be the lord  ^ 28
and it came to pass after  ^ 28
unto god  ^ 28
six hundred  ^ 28
jews and  ^ 28
from god  ^ 28
the third  ^ 28
but i  ^ 28
the light  ^ 28
but that  ^ 28
my lord the king  ^ 28
old when he began to reign  ^ 28
now the rest of the acts  ^ 28
these things  ^ 28
of israel said  ^ 28
unto the land  ^ 28
thousand and five  ^ 28
they said  ^ 28
the prophet  ^ 28
mother and  ^ 28
unto aaron  ^ 28
and whosoever  ^ 28
but jesus  ^ 28
and his disciples  ^ 28
in christ jesus  ^ 28
years old when he began to reign  ^ 28
saying behold  ^ 27
because the lord  ^ 27
and all the congregation  ^ 27
in the name of the lord  ^ 27
after this  ^ 27
hundred men  ^ 27
you that  ^ 27
me for  ^ 27
for what  ^ 27
but ye  ^ 27
in the flesh  ^ 27
the children  ^ 27
the face of the earth  ^ 27
all the land  ^ 27
this house  ^ 27
unto the lord thy god  ^ 27
and some  ^ 27
unto them thus saith  ^ 27
the people of the land  ^ 27
to the lord  ^ 27
unto them thus  ^ 27
day and  ^ 27
peter and  ^ 27
hearken unto  ^ 27
thy god giveth  ^ 27
in the tabernacle of the congregation  ^ 27
which i command  ^ 27
thousand and five hundred  ^ 27
the land which the lord  ^ 27
the lord thy god giveth  ^ 27
i am the lord your god  ^ 27
and moses said unto  ^ 27
speak unto the children  ^ 27
the kingdom of heaven  ^ 27
sons and daughters  ^ 26
no man  ^ 26
the house of god  ^ 26
the tribes of israel  ^ 26
of this world  ^ 26
but god  ^ 26
him in  ^ 26
the day  ^ 26
know that  ^ 26
i am not  ^ 26
ye are  ^ 26
him then  ^ 26
the glory  ^ 26
and my  ^ 26
not neither  ^ 26
and the word of the lord  ^ 26
of the city  ^ 26
of the land of egypt  ^ 26
unto you and  ^ 26
your hearts  ^ 26
and there was  ^ 26
forty years  ^ 26
hear the word  ^ 26
his name  ^ 26
the angel  ^ 26
them but  ^ 26
he answered and said  ^ 26
sent messengers  ^ 25
above all  ^ 25
many days  ^ 25
my brethren  ^ 25
not with  ^ 25
by him  ^ 25
for as  ^ 25
not in  ^ 25
unto me  ^ 25
at his  ^ 25
him that  ^ 25
the dead  ^ 25
of the lord that  ^ 25
you for  ^ 25
brethren and  ^ 25
the devil  ^ 25
and all the men  ^ 25
the son of nebat  ^ 25
unto him saying  ^ 25
when he began to reign and he reigned  ^ 25
thou knowest  ^ 25
and ye shall know that  ^ 25
and five years  ^ 25
the place where  ^ 25
in the land  ^ 25
faith and  ^ 25
the father and  ^ 25
glory and  ^ 25
for behold  ^ 25
of the king of babylon  ^ 25
the elders  ^ 25
and he saith  ^ 25
her and  ^ 25
unto him and  ^ 25
art thou  ^ 25
of israel and say  ^ 25
and i saw  ^ 25
answered and  ^ 25
verily verily  ^ 25
of the tribe of the children  ^ 25
the temple and  ^ 25
verily verily i say  ^ 25
would not  ^ 24
tribe of manasseh  ^ 24
upon the mountains  ^ 24
into the house  ^ 24
all the earth  ^ 24
the lord and said  ^ 24
evil in the sight  ^ 24
and the angel of the lord  ^ 24
could not  ^ 24
of the lord your god  ^ 24
of israel for  ^ 24
and i  ^ 24
knew not  ^ 24
through the  ^ 24
is my  ^ 24
every man  ^ 24
spirit and  ^ 24
all and  ^ 24
of god which  ^ 24
and again  ^ 24
paul and  ^ 24
life and  ^ 24
of the kings of judah  ^ 24
say unto  ^ 24
this great  ^ 24
into his  ^ 24
me but  ^ 24
the words of this  ^ 24
his house  ^ 24
and came  ^ 24
under the sun  ^ 24
unto joshua  ^ 24
on the sabbath day  ^ 24
unto him lord  ^ 24
the ark of the covenant of the lord  ^ 24
evil in the sight of the lord  ^ 24
hear the word of the lord  ^ 24
the men of israel  ^ 23
of god in  ^ 23
saying go  ^ 23
fell upon  ^ 23
on the earth  ^ 23
our father  ^ 23
not what  ^ 23
for i know  ^ 23
now the  ^ 23
the time  ^ 23
and every  ^ 23
ghost and  ^ 23
the lord the god  ^ 23
the third day  ^ 23
the lord hath spoken  ^ 23
the same day  ^ 23
and his mothers name  ^ 23
for the children  ^ 23
whom the lord  ^ 23
cubits and the breadth  ^ 23
moses and aaron  ^ 23
and to all  ^ 23
saying if  ^ 23
prophets and  ^ 23
in the wilderness  ^ 23
days and  ^ 23
he said unto him  ^ 23
them saying  ^ 23
my name  ^ 23
after these things  ^ 23
his wife  ^ 23
the sepulcher  ^ 23
for lo  ^ 23
saying take  ^ 23
one to another  ^ 23
upon the head  ^ 23
in the land of canaan  ^ 23
unto jeremiah  ^ 23
praise ye the lord  ^ 23
savor unto the lord  ^ 23
of the goats for a sin offering  ^ 23
answering said  ^ 23
saith the lord for  ^ 23
these are the sons  ^ 22
my people israel  ^ 22
the land of israel  ^ 22
because he  ^ 22
saying the lord  ^ 22
which moses  ^ 22
the inhabitants of the land  ^ 22
he  his sons and his brethren  ^ 22
and his brethren were twelve  ^ 22
seven hundred  ^ 22
and another  ^ 22
of the spirit  ^ 22
his feet  ^ 22
apostles and  ^ 22
for who  ^ 22
but in  ^ 22
and then  ^ 22
for us  ^ 22
depart from  ^ 22
the blood  ^ 22
that is in  ^ 22
the works  ^ 22
as the lord liveth  ^ 22
saying i  ^ 22
that came  ^ 22
which god  ^ 22
unto pharaoh  ^ 22
and the king of israel  ^ 22
but they  ^ 22
the scripture  ^ 22
knowing that  ^ 22
upon him  ^ 22
and said behold  ^ 22
the servant of the lord  ^ 22
heaven and earth  ^ 22
into the temple  ^ 22
and what  ^ 22
and all that he did  ^ 22
the word that  ^ 22
and thy  ^ 22
in those  ^ 22
to him  ^ 22
entered into  ^ 22
the synagogue  ^ 22
thou art  ^ 22
the days  ^ 22
and it shall come to pass in that  ^ 22
the door of the tabernacle  ^ 22
he  his sons and his brethren were twelve  ^ 22
old when he began to reign and he reigned  ^ 22
and the word of the lord came  ^ 22
the people and  ^ 22
and it shall come to pass in that day  ^ 22
jesus said unto them  ^ 22
the son of jehoiada  ^ 21
of god but  ^ 21
against israel  ^ 21
of the lord for  ^ 21
the angel of the lord  ^ 21
of all that  ^ 21
lord god  ^ 21
these are the families  ^ 21
day and night  ^ 21
of the lord and  ^ 21
that if  ^ 21
and so  ^ 21
one of them  ^ 21
the second  ^ 21
the faith  ^ 21
but as  ^ 21
upon this  ^ 21
even as  ^ 21
come to  ^ 21
and by  ^ 21
that jesus  ^ 21
and four hundred  ^ 21
did so  ^ 21
unto all the people  ^ 21
unto him behold  ^ 21
the lord saying  ^ 21
behold now  ^ 21
then came  ^ 21
of pure gold  ^ 21
that they  ^ 21
by the hand of moses  ^ 21
in whom  ^ 21
hundred thousand  ^ 21
behold the days  ^ 21
the days come  ^ 21
all the day  ^ 21
power and  ^ 21
against the lord  ^ 21
by the house of their fathers  ^ 21
death and  ^ 21
unto them why  ^ 21
and saying  ^ 21
father which  ^ 21
saying lord  ^ 21
him and said  ^ 21
from them  ^ 21
among themselves  ^ 21
of him and  ^ 21
and straightway  ^ 21
after the shekel of the sanctuary  ^ 21
he saith unto them  ^ 21
said jesus  ^ 21
kid of the goats  ^ 21
him and the  ^ 21
the word of the lord came  ^ 21
and ye shall know that i  ^ 21
all these words  ^ 21
jesus answered and said  ^ 21
according to the word of the lord  ^ 20
he was  ^ 20
king over  ^ 20
of the children  ^ 20
these men  ^ 20
unto him thus saith  ^ 20
which he spoke  ^ 20
and four thousand  ^ 20
upon the throne  ^ 20
the commandments of the lord  ^ 20
grace of god  ^ 20
for that  ^ 20
of men and  ^ 20
him to  ^ 20
and ye  ^ 20
is this  ^ 20
but also  ^ 20
him not  ^ 20
eternal life  ^ 20
king solomon  ^ 20
the lord spoke  ^ 20
him all  ^ 20
out of the land  ^ 20
hearkened unto  ^ 20
throughout all  ^ 20
the evil that  ^ 20
the altar of the lord  ^ 20
of the lord was  ^ 20
sent to  ^ 20
all the vessels  ^ 20
the dead and  ^ 20
one to  ^ 20
and samuel said  ^ 20
of this  ^ 20
among the children of israel  ^ 20
from him  ^ 20
from twenty years  ^ 20
that which was evil in the sight  ^ 20
nebuchadnezzar king  ^ 20
of me  ^ 20
not this  ^ 20
and from  ^ 20
from the earth  ^ 20
but when the  ^ 20
of the pharisees  ^ 20
with him and  ^ 20
said the  ^ 20
hand and  ^ 20
of shittim wood  ^ 20
with milk and honey  ^ 20
and if a man  ^ 20
me son of man  ^ 20
live saith  ^ 20
answered him  ^ 20
when jesus  ^ 20
his mother  ^ 20
of his disciples  ^ 20
asked him  ^ 20
is in heaven  ^ 20
behold the days come  ^ 20
from twenty years old  ^ 20
that which was evil in the sight of the lord  ^ 20
nebuchadnezzar king of babylon  ^ 20
the door of the tabernacle of the congregation  ^ 20
of israel and say unto  ^ 20
kid of the goats for a sin offering  ^ 20
answered and said unto them  ^ 20
the son of zeruiah  ^ 19
forever and ever  ^ 19
the children of ammon  ^ 19
on the throne  ^ 19
i know not  ^ 19
and god  ^ 19
and peace  ^ 19
whom the  ^ 19
the lord that  ^ 19
the world and  ^ 19
be not  ^ 19
was not  ^ 19
the last  ^ 19
son and  ^ 19
not as  ^ 19
with his  ^ 19
his son  ^ 19
the love  ^ 19
only but  ^ 19
his life  ^ 19
of his  ^ 19
word and  ^ 19
said what  ^ 19
which is by  ^ 19
was in  ^ 19
the house of judah  ^ 19
for so  ^ 19
four hundred  ^ 19
of the lord came to  ^ 19
this word  ^ 19
out of the city  ^ 19
said behold  ^ 19
the lord their god  ^ 19
not only  ^ 19
among the people  ^ 19
to the people  ^ 19
all the children  ^ 19
i know  ^ 19
thou also  ^ 19
of the holy ghost  ^ 19
all his  ^ 19
the lord and  ^ 19
of the lord our god  ^ 19
a great multitude  ^ 19
jeremiah the prophet  ^ 19
and the lord god  ^ 19
him the  ^ 19
and they said unto  ^ 19
me in  ^ 19
and i heard  ^ 19
the door  ^ 19
at jerusalem  ^ 19
elders and  ^ 19
behold the lord  ^ 19
of the lord jesus  ^ 19
to jeremiah  ^ 19
command thee this day  ^ 19
into the sea  ^ 19
and upon all  ^ 19
the congregation of the children  ^ 19
and purple and scarlet  ^ 19
for a sweet savor  ^ 19
and they shall know that  ^ 19
and pharisees  ^ 19
and the other  ^ 19
shall make an atonement for  ^ 19
kingdom of god and  ^ 19
in heaven and  ^ 19
i command thee this day  ^ 19
the children of israel saying  ^ 19
the congregation of the children of israel  ^ 19
live saith the lord  ^ 19
then said jesus  ^ 19
jesus said unto him  ^ 19
of god that  ^ 18
the congregation of israel  ^ 18
of all the people  ^ 18
that david  ^ 18
in the city of david  ^ 18
of the lord unto  ^ 18
on that day  ^ 18
of the children of judah  ^ 18
nay but  ^ 18
and moses and aaron  ^ 18
for we  ^ 18
king of assyria  ^ 18
name and  ^ 18
are not  ^ 18
but by  ^ 18
and your  ^ 18
flesh and  ^ 18
my beloved  ^ 18
the saints  ^ 18
the power  ^ 18
which was  ^ 18
the christ  ^ 18
god because  ^ 18
of israel which  ^ 18
evil upon  ^ 18
of jeroboam the son  ^ 18
him thus saith  ^ 18
said unto the king  ^ 18
the king of judah  ^ 18
unto the place  ^ 18
when the lord  ^ 18
in the day  ^ 18
come upon  ^ 18
came upon  ^ 18
to all  ^ 18
against this  ^ 18
unto the house  ^ 18
is not this  ^ 18
not from  ^ 18
lived after  ^ 18
and he did that which was evil  ^ 18
and of  ^ 18
in them  ^ 18
of israel did  ^ 18
the holy one of israel  ^ 18
into this  ^ 18
upon the face  ^ 18
twelve thousand  ^ 18
of the gospel  ^ 18
came and  ^ 18
in the way  ^ 18
and when they  ^ 18
of the temple  ^ 18
pharisees and  ^ 18
the beast  ^ 18
and peter  ^ 18
the place  ^ 18
and cast  ^ 18
day saith  ^ 18
in the land which  ^ 18
young bullock  ^ 18
that is upon  ^ 18
behold i am against  ^ 18
the passover  ^ 18
then jesus  ^ 18
followed him  ^ 18
king of the  ^ 18
him and he  ^ 18
cities with their villages  ^ 18
and be unclean until  ^ 18
and the priest shall make an atonement  ^ 18
jesus answering  ^ 18
woe unto you  ^ 18
into the world  ^ 18
of the chronicles of the kings of israel  ^ 18
day saith the lord  ^ 18
and they shall know that i  ^ 18
and jesus answered  ^ 18
king of the jews  ^ 18
which is in heaven  ^ 18
and be unclean until the even  ^ 18
and the priest shall make an atonement for  ^ 18
and six hundred  ^ 17
before the ark  ^ 17
king david  ^ 17
unto the lord for  ^ 17
came into  ^ 17
come unto  ^ 17
not nor  ^ 17
seven years  ^ 17
five hundred  ^ 17
for it is written  ^ 17
that in  ^ 17
of the body  ^ 17
because of the  ^ 17
body and  ^ 17
not one  ^ 17
in the world  ^ 17
of the church  ^ 17
even so  ^ 17
what is  ^ 17
if there be  ^ 17
law and  ^ 17
dead and  ^ 17
in us  ^ 17
name of the  ^ 17
he is  ^ 17
the will  ^ 17
the water  ^ 17
the men of judah  ^ 17
of israel behold  ^ 17
stood before  ^ 17
unto them what  ^ 17
against jerusalem  ^ 17
year of king  ^ 17
of the kings house  ^ 17
king of syria  ^ 17
of the kingdom  ^ 17
seven times  ^ 17
forty days  ^ 17
sent unto  ^ 17
cried unto  ^ 17
the host of heaven  ^ 17
house which  ^ 17
this evil  ^ 17
and gave  ^ 17
his mouth  ^ 17
of men  ^ 17
on the right hand  ^ 17
of israel thus  ^ 17
for the people  ^ 17
the people saying  ^ 17
then said he unto  ^ 17
said unto david  ^ 17
but what  ^ 17
of the god of israel  ^ 17
and how  ^ 17
all men  ^ 17
in the spirit  ^ 17
also and  ^ 17
these things and  ^ 17
people for  ^ 17
unto the lord god  ^ 17
all the cities  ^ 17
and came unto  ^ 17
all the inhabitants  ^ 17
the inhabitants of jerusalem  ^ 17
if thou  ^ 17
enter into  ^ 17
and all the kings  ^ 17
the flesh  ^ 17
from jerusalem  ^ 17
come into  ^ 17
the son of nethaniah  ^ 17
first and  ^ 17
and it was  ^ 17
and saw  ^ 17
with the holy ghost  ^ 17
of the jews and  ^ 17
and upon  ^ 17
therefore said  ^ 17
the twelve  ^ 17
throne and  ^ 17
come saith  ^ 17
for whosoever  ^ 17
without the camp  ^ 17
one ram  ^ 17
unto the door  ^ 17
unto them when  ^ 17
unto joseph  ^ 17
and saith unto them  ^ 17
but i say  ^ 17
and the scribes  ^ 17
i am the  ^ 17
to the chief musician a psalm  ^ 17
to the chief musician a psalm of david  ^ 17
of god and the  ^ 17
and david said unto  ^ 17
the name of the  ^ 17
which the lord commanded  ^ 17
and all the people that  ^ 17
and he did that which was evil in the sight  ^ 17
of the earth and  ^ 17
the days come saith  ^ 17
come saith the lord  ^ 17
in my name  ^ 17
the children of israel and say  ^ 17
and jesus answering  ^ 17
father which is in  ^ 17
and the men of israel  ^ 16
of israel that  ^ 16
not to  ^ 16
the land of canaan  ^ 16
and it shall come to pass when  ^ 16
and two thousand  ^ 16
be with  ^ 16
of the tribe  ^ 16
god of their fathers  ^ 16
the cities of judah  ^ 16
these cities  ^ 16
hundred and fifty  ^ 16
the will of god  ^ 16
also the  ^ 16
not god  ^ 16
by whom  ^ 16
our fathers  ^ 16
for our  ^ 16
man and  ^ 16
the head  ^ 16
and our  ^ 16
is in  ^ 16
in his own  ^ 16
and we  ^ 16
am the  ^ 16
be with you  ^ 16
what man  ^ 16
world but  ^ 16
know ye not  ^ 16
men for  ^ 16
from the beginning  ^ 16
with us  ^ 16
in god  ^ 16
and stood before  ^ 16
day of the month  ^ 16
no bread  ^ 16
therefore behold  ^ 16
behold i will bring  ^ 16
before the children  ^ 16
which he did  ^ 16
until the day  ^ 16
david my father  ^ 16
by the way  ^ 16
the spirit of the lord  ^ 16
and say thus  ^ 16
the end  ^ 16
which the  ^ 16
and see  ^ 16
in all things  ^ 16
a certain man  ^ 16
the lord and the lord  ^ 16
unto saul  ^ 16
the ends of the earth  ^ 16
on the third day  ^ 16
the words of the lord  ^ 16
also in  ^ 16
this that  ^ 16
to come unto  ^ 16
in the house  ^ 16
and to the  ^ 16
the prophet saying  ^ 16
much people  ^ 16
the son of josiah  ^ 16
me that  ^ 16
from me  ^ 16
among them  ^ 16
for many  ^ 16
the son of ahikam  ^ 16
the words that  ^ 16
upon the land  ^ 16
these are  ^ 16
to the house  ^ 16
and found  ^ 16
peter said  ^ 16
and thou  ^ 16
the land  ^ 16
unto them saying  ^ 16
the sun  ^ 16
and elders  ^ 16
and he took  ^ 16
on his  ^ 16
lord said  ^ 16
saying the  ^ 16
his hand  ^ 16
and he answered  ^ 16
the beasts of the field  ^ 16
appeared unto  ^ 16
the word which  ^ 16
the sabbath day  ^ 16
one young  ^ 16
as i live  ^ 16
and begot sons  ^ 16
after he begot  ^ 16
into galilee  ^ 16
i tell you  ^ 16
of fine flour mingled  ^ 16
came to jeremiah  ^ 16
one young bullock  ^ 16
years and begot sons  ^ 16
and begot sons and daughters  ^ 16
jesus saith unto them  ^ 16
of fine flour mingled with oil  ^ 16
these were the sons  ^ 15
thousand and six  ^ 15
of god came  ^ 15
david saying  ^ 15
o lord my god  ^ 15
for the lord god  ^ 15
in the sight of all  ^ 15
the son of jephunneh  ^ 15
with the king  ^ 15
for these  ^ 15
you brethren  ^ 15
because the  ^ 15
after the flesh  ^ 15
in one  ^ 15
