Phrase ^ Count
saith the lord  ^ 731
as the  ^ 46
other gods  ^ 46
the king of babylon  ^ 46
i the lord  ^ 46
of the lord which  ^ 45
three days  ^ 45
in the house of the lord  ^ 45
of our lord  ^ 45
in this  ^ 45
from the dead  ^ 45
from the lord  ^ 45
king of babylon  ^ 45
that thou  ^ 44
in you  ^ 44
the holy  ^ 44
written in  ^ 44
unto the people  ^ 44
saying speak  ^ 44
one of  ^ 44
and all israel  ^ 43
the people that  ^ 43
the house of the lord  ^ 43
of him  ^ 43
jerusalem and  ^ 43
this place  ^ 43
with a loud voice  ^ 43
this city  ^ 43
all this  ^ 42
of the lord thy god  ^ 42
of israel saying  ^ 42
the name  ^ 42
people and  ^ 42
the pharisees  ^ 42
jesus saith  ^ 42
his mercy endureth forever  ^ 41
o lord god  ^ 41
and this  ^ 41
the house  ^ 41
he said unto them  ^ 41
i command  ^ 41
saith unto them  ^ 41
at that time  ^ 40
his son reigned  ^ 40
if a man  ^ 40
and many  ^ 40
the body  ^ 40
according to the  ^ 40
with you  ^ 40
with me  ^ 40
him for  ^ 40
not and  ^ 40
all the days  ^ 40
me saying son  ^ 40
my father  ^ 40
to david  ^ 39
of you  ^ 39
if the  ^ 39
not of  ^ 39
before the  ^ 39
holy ghost  ^ 39
before the king  ^ 39
the lord behold  ^ 39
of hosts the god  ^ 39
the way  ^ 39
of them  ^ 39
the disciples  ^ 39
chief priests and  ^ 39
three hundred  ^ 38
before god  ^ 38
to another  ^ 38
upon the altar  ^ 38
if any man  ^ 38
christ and  ^ 38
but now  ^ 38
fear not  ^ 38
in those days  ^ 38
all the words  ^ 38
in me  ^ 38
the high priest  ^ 38
then the  ^ 38
over all  ^ 37
heard that  ^ 37
of the children of ammon  ^ 37
sea and  ^ 37
the gospel  ^ 37
which is in  ^ 37
and when the  ^ 37
old and upward  ^ 37
after the  ^ 37
the man of god  ^ 36
that god  ^ 36
word of god  ^ 36
the first  ^ 36
the voice of the lord  ^ 36
the city  ^ 36
the multitude  ^ 36
the brethren  ^ 35
us and  ^ 35
the truth  ^ 35
slept with  ^ 35
the book of the chronicles  ^ 35
on him  ^ 35
god behold  ^ 35
house and  ^ 35
temple and  ^ 35
the seven  ^ 35
scribes and  ^ 35
in their  ^ 35
for his mercy  ^ 34
thousand men  ^ 34
into the land  ^ 34
you but  ^ 34
the woman  ^ 34
the whole  ^ 34
of all  ^ 34
among the  ^ 34
not unto  ^ 34
are they not  ^ 34
of the chronicles of the kings  ^ 34
and of the  ^ 34
the tabernacle of the congregation  ^ 34
and john  ^ 34
am the lord your god  ^ 34
the ark of the covenant  ^ 33
the man  ^ 33
but when  ^ 33
in your  ^ 33
and that  ^ 33
that ye  ^ 33
which is  ^ 33
god for  ^ 33
with god  ^ 33
not written  ^ 33
i know that  ^ 33
the king of israel  ^ 33
the king  ^ 33
the god  ^ 33
and when he  ^ 33
city and  ^ 33
unto david  ^ 32
of the covenant of the lord  ^ 32
the church  ^ 32
and now  ^ 32
you all  ^ 32
who is  ^ 32
it and  ^ 32
ye also  ^ 32
for it  ^ 32
not but  ^ 32
this man  ^ 32
this land  ^ 32
the throne  ^ 32
disciples and  ^ 32
years and begot  ^ 32
and saith  ^ 32
mingled with oil  ^ 32
a psalm of david  ^ 32
and came to  ^ 31
of god for  ^ 31
into the house of the lord  ^ 31
all the congregation  ^ 31
of the kings of israel  ^ 31
for you  ^ 31
our lord  ^ 31
of the world  ^ 31
world and  ^ 31
the other  ^ 31
the wilderness  ^ 31
and one  ^ 31
saying this  ^ 31
that he  ^ 31
king of egypt  ^ 31
upon all  ^ 31
and five hundred  ^ 31
the prophets  ^ 31
the ship  ^ 31
kingdom of heaven  ^ 31
the ark of the lord  ^ 30
of the lord god  ^ 30
of the house of god  ^ 30
you in  ^ 30
and as  ^ 30
and their  ^ 30
his brother  ^ 30
of the house of israel  ^ 30
that this  ^ 30
the commandment of the lord  ^ 30
he said unto  ^ 30
and great  ^ 30
until the even  ^ 30
of the people  ^ 30
and immediately  ^ 30
and after  ^ 30
the name of the lord  ^ 30
he answered  ^ 30
one the king  ^ 30
and twenty thousand  ^ 29
the ark of god  ^ 29
the grace  ^ 29
the gentiles  ^ 29
the apostles  ^ 29
against the  ^ 29
and with  ^ 29
son of god  ^ 29
saying what  ^ 29
years in jerusalem  ^ 29
the son of nun  ^ 29
god of hosts  ^ 29
those days  ^ 29
and saul said  ^ 29
of the lord of hosts  ^ 29
and no man  ^ 29
the king of assyria  ^ 29
them thus saith  ^ 29
behold the  ^ 29
come and  ^ 29
the scribes  ^ 29
me saith the lord  ^ 29
lambs of the first  ^ 29
was with  ^ 28
and god said  ^ 28
all nations  ^ 28
and it came to pass after  ^ 28
unto god  ^ 28
six hundred  ^ 28
jews and  ^ 28
from god  ^ 28
the holy ghost  ^ 28
the third  ^ 28
but i  ^ 28
the light  ^ 28
but that  ^ 28
my lord the king  ^ 28
that he did  ^ 28
old when he began to reign  ^ 28
now the rest of the acts  ^ 28
these things  ^ 28
of israel said  ^ 28
unto the land  ^ 28
thousand and five  ^ 28
they said  ^ 28
the prophet  ^ 28
mother and  ^ 28
unto aaron  ^ 28
and whosoever  ^ 28
but jesus  ^ 28
saying behold  ^ 27
and all the congregation  ^ 27
after this  ^ 27
hundred men  ^ 27
you that  ^ 27
me for  ^ 27
for what  ^ 27
but ye  ^ 27
the children  ^ 27
the face of the earth  ^ 27
this house  ^ 27
and it came to pass when  ^ 27
and some  ^ 27
the people of the land  ^ 27
unto them thus  ^ 27
day and  ^ 27
peter and  ^ 27
hearken unto  ^ 27
thy god giveth  ^ 27
in the tabernacle of the congregation  ^ 27
because the lord  ^ 26
no man  ^ 26
blessed be the lord  ^ 26
the tribes of israel  ^ 26
all these things  ^ 26
but god  ^ 26
him in  ^ 26
the day  ^ 26
as it is written  ^ 26
know that  ^ 26
ye are  ^ 26
him then  ^ 26
the glory  ^ 26
and my  ^ 26
not neither  ^ 26
and the word of the lord  ^ 26
your hearts  ^ 26
forty years  ^ 26
his name  ^ 26
the angel  ^ 26
them but  ^ 26
sent messengers  ^ 25
sons and daughters  ^ 25
above all  ^ 25
many days  ^ 25
my brethren  ^ 25
not with  ^ 25
by him  ^ 25
for as  ^ 25
not in  ^ 25
unto me  ^ 25
at his  ^ 25
him that  ^ 25
the dead  ^ 25
you for  ^ 25
we know that  ^ 25
brethren and  ^ 25
the devil  ^ 25
the son of nebat  ^ 25
when he began to reign and he reigned  ^ 25
thou knowest  ^ 25
of the city  ^ 25
and ye shall know that  ^ 25
and five years  ^ 25
of the land of egypt  ^ 25
faith and  ^ 25
glory and  ^ 25
hear the word  ^ 25
to the lord  ^ 25
for behold  ^ 25
the elders  ^ 25
her and  ^ 25
art thou  ^ 25
and said unto them  ^ 25
of israel and say  ^ 25
and i saw  ^ 25
answered and  ^ 25
verily verily  ^ 25
of the tribe of the children  ^ 25
would not  ^ 24
tribe of manasseh  ^ 24
upon the mountains  ^ 24
the lord and said  ^ 24
evil in the sight  ^ 24
could not  ^ 24
of israel for  ^ 24
and i  ^ 24
knew not  ^ 24
through the  ^ 24
is my  ^ 24
every man  ^ 24
spirit and  ^ 24
all and  ^ 24
of god which  ^ 24
and again  ^ 24
paul and  ^ 24
in the flesh  ^ 24
life and  ^ 24
and all the men  ^ 24
of the kings of judah  ^ 24
say unto  ^ 24
this great  ^ 24
in the midst  ^ 24
into his  ^ 24
and there was  ^ 24
me but  ^ 24
of the king of babylon  ^ 24
his house  ^ 24
and came  ^ 24
one of the  ^ 24
under the sun  ^ 24
unto joshua  ^ 24
the men of israel  ^ 23
saying go  ^ 23
and the angel of the lord  ^ 23
fell upon  ^ 23
of the lord your god  ^ 23
our father  ^ 23
not what  ^ 23
now the  ^ 23
the time  ^ 23
and every  ^ 23
ghost and  ^ 23
the lord hath spoken  ^ 23
and his mothers name  ^ 23
all the land  ^ 23
cubits and the breadth  ^ 23
moses and aaron  ^ 23
unto the lord thy god  ^ 23
saying if  ^ 23
prophets and  ^ 23
unto them and  ^ 23
the words of this  ^ 23
days and  ^ 23
them saying  ^ 23
my name  ^ 23
his wife  ^ 23
and said unto him  ^ 23
the sepulcher  ^ 23
for lo  ^ 23
saying take  ^ 23
upon the head  ^ 23
unto jeremiah  ^ 23
savor unto the lord  ^ 23
of the goats for a sin offering  ^ 23
answering said  ^ 23
these are the sons  ^ 22
the land of israel  ^ 22
because he  ^ 22
which moses  ^ 22
the inhabitants of the land  ^ 22
he  his sons and his brethren  ^ 22
and his brethren were twelve  ^ 22
seven hundred  ^ 22
of this world  ^ 22
and another  ^ 22
his feet  ^ 22
apostles and  ^ 22
for who  ^ 22
of the lord that  ^ 22
but in  ^ 22
and then  ^ 22
for us  ^ 22
depart from  ^ 22
the blood  ^ 22
that is in  ^ 22
the works  ^ 22
as the lord liveth  ^ 22
saying i  ^ 22
that came  ^ 22
which god  ^ 22
unto pharaoh  ^ 22
the lord the god  ^ 22
and the king of israel  ^ 22
in the land  ^ 22
but they  ^ 22
the scripture  ^ 22
knowing that  ^ 22
upon him  ^ 22
and to all  ^ 22
the servant of the lord  ^ 22
and what  ^ 22
and thy  ^ 22
in those  ^ 22
to him  ^ 22
entered into  ^ 22
and he saith  ^ 22
the synagogue  ^ 22
thou art  ^ 22
the days  ^ 22
and it shall come to pass in that  ^ 22
the door of the tabernacle  ^ 22
unto him lord  ^ 22
my people israel  ^ 21
the son of jehoiada  ^ 21
of god in  ^ 21
against israel  ^ 21
the house of god  ^ 21
lord god  ^ 21
these are the families  ^ 21
that if  ^ 21
and so  ^ 21
the second  ^ 21
the faith  ^ 21
but as  ^ 21
upon this  ^ 21
even as  ^ 21
come to  ^ 21
and by  ^ 21
that jesus  ^ 21
and four hundred  ^ 21
the lord said  ^ 21
unto him saying  ^ 21
did so  ^ 21
for the children  ^ 21
unto him behold  ^ 21
the lord saying  ^ 21
behold now  ^ 21
then came  ^ 21
of pure gold  ^ 21
that they  ^ 21
by the hand of moses  ^ 21
in whom  ^ 21
hundred thousand  ^ 21
and said behold  ^ 21
behold the days  ^ 21
the days come  ^ 21
power and  ^ 21
by the house of their fathers  ^ 21
death and  ^ 21
and saying  ^ 21
father which  ^ 21
saying lord  ^ 21
from them  ^ 21
among themselves  ^ 21
and straightway  ^ 21
after the shekel of the sanctuary  ^ 21
in the land of canaan  ^ 21
said jesus  ^ 21
praise ye the lord  ^ 21
kid of the goats  ^ 21
he was  ^ 20
king over  ^ 20
of the children  ^ 20
these men  ^ 20
of god but  ^ 20
all the earth  ^ 20
saying the lord  ^ 20
the angel of the lord  ^ 20
which he spoke  ^ 20
and four thousand  ^ 20
of all that  ^ 20
grace of god  ^ 20
for that  ^ 20
him to  ^ 20
and ye  ^ 20
is this  ^ 20
but also  ^ 20
him not  ^ 20
eternal life  ^ 20
king solomon  ^ 20
the lord spoke  ^ 20
unto the children of israel  ^ 20
him all  ^ 20
out of the land  ^ 20
hearkened unto  ^ 20
throughout all  ^ 20
the evil that  ^ 20
the altar of the lord  ^ 20
of the lord was  ^ 20
whom the lord  ^ 20
sent to  ^ 20
one to  ^ 20
and samuel said  ^ 20
of this  ^ 20
against the lord  ^ 20
from him  ^ 20
from twenty years  ^ 20
that which was evil in the sight  ^ 20
nebuchadnezzar king  ^ 20
of me  ^ 20
not this  ^ 20
and from  ^ 20
said the  ^ 20
hand and  ^ 20
of shittim wood  ^ 20
with milk and honey  ^ 20
me son of man  ^ 20
live saith  ^ 20
answered him  ^ 20
when jesus  ^ 20
his mother  ^ 20
asked him  ^ 20
the son of zeruiah  ^ 19
the children of ammon  ^ 19
of the lord for  ^ 19
the commandments of the lord  ^ 19
i know not  ^ 19
and god  ^ 19
and peace  ^ 19
whom the  ^ 19
the lord that  ^ 19
of the spirit  ^ 19
be not  ^ 19
was not  ^ 19
the last  ^ 19
son and  ^ 19
not as  ^ 19
with his  ^ 19
his son  ^ 19
the love  ^ 19
only but  ^ 19
his life  ^ 19
of his  ^ 19
word and  ^ 19
said what  ^ 19
which is by  ^ 19
was in  ^ 19
for so  ^ 19
four hundred  ^ 19
this word  ^ 19
said behold  ^ 19
all the vessels  ^ 19
not only  ^ 19
i know  ^ 19
all the day  ^ 19
thou also  ^ 19
all his  ^ 19
a great multitude  ^ 19
him the  ^ 19
me in  ^ 19
and i heard  ^ 19
the door  ^ 19
at jerusalem  ^ 19
elders and  ^ 19
behold the lord  ^ 19
to jeremiah  ^ 19
command thee this day  ^ 19
and if a man  ^ 19
the congregation of the children  ^ 19
and purple and scarlet  ^ 19
for a sweet savor  ^ 19
and they shall know that  ^ 19
and pharisees  ^ 19
shall make an atonement for  ^ 19
the congregation of israel  ^ 18
that david  ^ 18
in the name of the lord  ^ 18
forever and ever  ^ 18
on that day  ^ 18
nay but  ^ 18
for we  ^ 18
king of assyria  ^ 18
name and  ^ 18
are not  ^ 18
i am not  ^ 18
but by  ^ 18
of men and  ^ 18
and your  ^ 18
flesh and  ^ 18
my beloved  ^ 18
the saints  ^ 18
the power  ^ 18
for i know  ^ 18
which was  ^ 18
the christ  ^ 18
god because  ^ 18
of israel which  ^ 18
the house of judah  ^ 18
the same day  ^ 18
evil upon  ^ 18
of jeroboam the son  ^ 18
him thus saith  ^ 18
the king of judah  ^ 18
unto the place  ^ 18
the lord their god  ^ 18
come upon  ^ 18
came upon  ^ 18
to all  ^ 18
all the children  ^ 18
against this  ^ 18
of the lord our god  ^ 18
not from  ^ 18
lived after  ^ 18
and he did that which was evil  ^ 18
and of  ^ 18
in them  ^ 18
unto them why  ^ 18
and they said unto  ^ 18
of israel did  ^ 18
the holy one of israel  ^ 18
into this  ^ 18
upon the face  ^ 18
twelve thousand  ^ 18
the word that  ^ 18
came and  ^ 18
and when they  ^ 18
pharisees and  ^ 18
the beast  ^ 18
and peter  ^ 18
the place  ^ 18
and cast  ^ 18
day saith  ^ 18
and upon all  ^ 18
young bullock  ^ 18
that is upon  ^ 18
behold i am against  ^ 18
on the sabbath day  ^ 18
the passover  ^ 18
then jesus  ^ 18
followed him  ^ 18
king of the  ^ 18
cities with their villages  ^ 18
and be unclean until  ^ 18
and the priest shall make an atonement  ^ 18
jesus answering  ^ 18
woe unto you  ^ 18
and six hundred  ^ 17
of all the people  ^ 17
in the city of david  ^ 17
before the ark  ^ 17
king david  ^ 17
of the lord unto  ^ 17
came into  ^ 17
come unto  ^ 17
of the children of judah  ^ 17
not nor  ^ 17
and moses and aaron  ^ 17
seven years  ^ 17
five hundred  ^ 17
for it is written  ^ 17
that in  ^ 17
because of the  ^ 17
body and  ^ 17
not one  ^ 17
even so  ^ 17
what is  ^ 17
if there be  ^ 17
law and  ^ 17
dead and  ^ 17
in us  ^ 17
name of the  ^ 17
he is  ^ 17
the will  ^ 17
the water  ^ 17
the men of judah  ^ 17
of israel behold  ^ 17
stood before  ^ 17
against jerusalem  ^ 17
year of king  ^ 17
of the kings house  ^ 17
king of syria  ^ 17
seven times  ^ 17
forty days  ^ 17
sent unto  ^ 17
cried unto  ^ 17
house which  ^ 17
this evil  ^ 17
and gave  ^ 17
his mouth  ^ 17
of men  ^ 17
on the right hand  ^ 17
of israel thus  ^ 17
to the people  ^ 17
unto the house  ^ 17
but what  ^ 17
of the god of israel  ^ 17
and how  ^ 17
all men  ^ 17
also and  ^ 17
these things and  ^ 17
people for  ^ 17
all the inhabitants  ^ 17
the inhabitants of jerusalem  ^ 17
if thou  ^ 17
jeremiah the prophet  ^ 17
and the lord god  ^ 17
enter into  ^ 17
the flesh  ^ 17
from jerusalem  ^ 17
come into  ^ 17
the son of nethaniah  ^ 17
first and  ^ 17
of the gospel  ^ 17
and saw  ^ 17
he said unto him  ^ 17
and upon  ^ 17
therefore said  ^ 17
the twelve  ^ 17
throne and  ^ 17
come saith  ^ 17
for whosoever  ^ 17
one ram  ^ 17
unto joseph  ^ 17
he saith unto them  ^ 17
is in heaven  ^ 17
to the chief musician a psalm  ^ 17
and the men of israel  ^ 16
of israel that  ^ 16
not to  ^ 16
the land of canaan  ^ 16
and it shall come to pass when  ^ 16
and two thousand  ^ 16
be with  ^ 16
upon the throne  ^ 16
god of their fathers  ^ 16
the cities of judah  ^ 16
these cities  ^ 16
hundred and fifty  ^ 16
also the  ^ 16
not god  ^ 16
by whom  ^ 16
our fathers  ^ 16
for our  ^ 16
man and  ^ 16
the head  ^ 16
and our  ^ 16
is in  ^ 16
in his own  ^ 16
and we  ^ 16
am the  ^ 16
what man  ^ 16
world but  ^ 16
know ye not  ^ 16
men for  ^ 16
from the beginning  ^ 16
with us  ^ 16
in god  ^ 16
and stood before  ^ 16
day of the month  ^ 16
no bread  ^ 16
therefore behold  ^ 16
which he did  ^ 16
of the kingdom  ^ 16
david my father  ^ 16
the host of heaven  ^ 16
and say thus  ^ 16
when the lord  ^ 16
unto you and  ^ 16
the end  ^ 16
which the  ^ 16
and see  ^ 16
in all things  ^ 16
a certain man  ^ 16
the lord and the lord  ^ 16
the people saying  ^ 16
unto saul  ^ 16
the words of the lord  ^ 16
the lord jesus  ^ 16
also in  ^ 16
this that  ^ 16
in the spirit  ^ 16
all the cities  ^ 16
much people  ^ 16
the son of josiah  ^ 16
and all the kings  ^ 16
me that  ^ 16
from me  ^ 16
among them  ^ 16
for many  ^ 16
the son of ahikam  ^ 16
upon the land  ^ 16
these are  ^ 16
and found  ^ 16
and it was  ^ 16
peter said  ^ 16
and thou  ^ 16
the land  ^ 16
the sun  ^ 16
and elders  ^ 16
and he took  ^ 16
on his  ^ 16
lord said  ^ 16
saying the  ^ 16
of the temple  ^ 16
his hand  ^ 16
the beasts of the field  ^ 16
appeared unto  ^ 16
one young  ^ 16
unto the door  ^ 16
as i live  ^ 16
unto them when  ^ 16
and begot sons  ^ 16
after he begot  ^ 16
into galilee  ^ 16
of fine flour mingled  ^ 16
thousand and six  ^ 15
of god that  ^ 15
of god came  ^ 15
david saying  ^ 15
o lord my god  ^ 15
of the tribe  ^ 15
in the sight of all  ^ 15
the son of jephunneh  ^ 15
with the king  ^ 15
for these  ^ 15
day and night  ^ 15
you brethren  ^ 15
because the  ^ 15
in one  ^ 15
the churches  ^ 15
himself and  ^ 15
honor and  ^ 15
for now  ^ 15
therefore the  ^ 15
god is  ^ 15
there is no  ^ 15
and power  ^ 15
of whom  ^ 15
be with you  ^ 15
to you  ^ 15
ye not that  ^ 15
until the  ^ 15
wife and  ^ 15
god but  ^ 15
and heard  ^ 15
us for  ^ 15
the promise  ^ 15
unto death  ^ 15
all the kings  ^ 15
after other  ^ 15
the days of his life  ^ 15
of this people  ^ 15
of israel came  ^ 15
and spoke unto  ^ 15
unto them what  ^ 15
behold i will bring  ^ 15
and twenty years  ^ 15
before the children  ^ 15
israel with  ^ 15
whom i  ^ 15
of all the earth  ^ 15
unto him thus  ^ 15
in jerusalem and his mothers  ^ 15
and honor  ^ 15
the place where  ^ 15
returned unto  ^ 15
throughout all the land  ^ 15
they also  ^ 15
unto the priest  ^ 15
then said he unto  ^ 15
was upon  ^ 15
the ends of the earth  ^ 15
of israel saith  ^ 15
shall come upon  ^ 15
knew that  ^ 15
on the third day  ^ 15
to come unto  ^ 15
unto thee  ^ 15
and to the  ^ 15
year of his reign  ^ 15
that which was right in the sight  ^ 15
to hezekiah  ^ 15
to make an atonement for  ^ 15
the son of shaphan  ^ 15
king of persia  ^ 15
the lord thus  ^ 15
the captain of the guard  ^ 15
simon peter  ^ 15
all the men  ^ 15
from the earth  ^ 15
in the name  ^ 15
james and  ^ 15
john and  ^ 15
the midst of the  ^ 15
the men  ^ 15
him from  ^ 15
their eyes  ^ 15
o house of israel  ^ 15
the lord unto  ^ 15
and for  ^ 15
six days  ^ 15
and the priest shall take  ^ 15
and pharaoh said  ^ 15
without the camp  ^ 15
shekels after the shekel  ^ 15
the west side  ^ 15
this is the law  ^ 15
the book  ^ 15
answered them  ^ 15
then saith  ^ 15
i tell you  ^ 15
saying master  ^ 15
and joshua said  ^ 15
the four  ^ 15
bullock one  ^ 15
to the chief musician upon  ^ 15
a song of degrees  ^ 15
according to the word of the lord  ^ 14
the elders of israel  ^ 14
twenty and two  ^ 14
three months  ^ 14
three years  ^ 14
for it is  ^ 14
thousand of  ^ 14
the kings sons  ^ 14
unto jerusalem  ^ 14
judah and jerusalem  ^ 14
in the land of judah  ^ 14
me not  ^ 14
unto the end  ^ 14
if i  ^ 14
and drink  ^ 14
bread and  ^ 14
his head  ^ 14
ye know that  ^ 14
of the church  ^ 14
which also  ^ 14
your faith  ^ 14
third day  ^ 14
that we  ^ 14
of the holy  ^ 14
nothing but  ^ 14
for your  ^ 14
the altar  ^ 14
us from  ^ 14
not his  ^ 14
him because  ^ 14
in himself  ^ 14
water and  ^ 14
the king and said  ^ 14
for the king  ^ 14
of david his father  ^ 14
but not  ^ 14
and the rest of the acts  ^ 14
his fathers and was buried  ^ 14
all the house  ^ 14
of the lord saying  ^ 14
that the word of the lord  ^ 14
in this place  ^ 14
he did are they  ^ 14
until the day  ^ 14
for ye  ^ 14
unto his servants  ^ 14
came out of  ^ 14
did as  ^ 14
the spirit of the lord  ^ 14
go with  ^ 14
of israel and  ^ 14
them all  ^ 14
house of god  ^ 14
my son  ^ 14
upon his head  ^ 14
what shall i do  ^ 14
fell on  ^ 14
called unto  ^ 14
day that  ^ 14
with the edge of the sword  ^ 14
departed from  ^ 14
of the living god  ^ 14
that night  ^ 14
word of the  ^ 14
kingdom and  ^ 14
them in  ^ 14
for every  ^ 14
the fear of the lord  ^ 14
heaven and earth  ^ 14
and three thousand  ^ 14
that are with  ^ 14
the son of joash  ^ 14
into the hand of the king  ^ 14
of the king of assyria  ^ 14
and the glory of the lord  ^ 14
his face  ^ 14
by faith  ^ 14
the place which  ^ 14
the words that  ^ 14
said lord  ^ 14
on the seventh day  ^ 14
place where  ^ 14
and there were  ^ 14
in that  ^ 14
in thy  ^ 14
men and  ^ 14
and mary  ^ 14
in jerusalem  ^ 14
hour and  ^ 14
the soldiers  ^ 14
and went  ^ 14
after that  ^ 14
the words  ^ 14
them not  ^ 14
the chief captain  ^ 14
saw him  ^ 14
and as they  ^ 14
and as he  ^ 14
and say  ^ 14
feet and  ^ 14
the mount  ^ 14
way and  ^ 14
thee saith the lord  ^ 14
meshach and abednego  ^ 14
the son of god  ^ 14
of the whole earth  ^ 14
unto them i  ^ 14
and joshua the son  ^ 14
all the firstborn  ^ 14
and put it upon  ^ 14
to enter into  ^ 14
of the lords house  ^ 14
you saith the lord  ^ 14
unto me son  ^ 14
thousand and four  ^ 14
say unto him  ^ 14
the sheep  ^ 14
i say unto thee  ^ 14
sepulcher and  ^ 14
your father  ^ 14
out of his  ^ 14
of a sweet savor  ^ 14
year for a burnt offering  ^ 14
with oil for a meat offering  ^ 14
his clothes and bathe  ^ 14
one kid  ^ 14
after their families by the house  ^ 14
and upward all  ^ 14
and seven hundred  ^ 13
and seven thousand  ^ 13
as moses  ^ 13
be the lord god  ^ 13
that were  ^ 13
talents of silver  ^ 13
and all the host  ^ 13
stood by  ^ 13
an altar unto the lord  ^ 13
the sons of aaron  ^ 13
were twenty and four  ^ 13
and i will be  ^ 13
before all  ^ 13
they are written in  ^ 13
ten thousand  ^ 13
moses the servant  ^ 13
and bore a son  ^ 13
them for  ^ 13
nine hundred  ^ 13
the cross  ^ 13
but we  ^ 13
peace from  ^ 13
but of  ^ 13
you by  ^ 13
my god  ^ 13
the coming  ^ 13
of the body  ^ 13
jesus the  ^ 13
and have  ^ 13
of the saints  ^ 13
all flesh  ^ 13
i also  ^ 13
the fire  ^ 13
and she  ^ 13
