subclause word index ^ length
4270 ^ of the scribes
4314 ^ - of man
4481 ^ of the bridechamber
4507 ^ of cloth unshrunk
4647 ^ of the ruler,
4802 ^ of the demons
4826 ^ of the kingdom,
4869 ^ of the harvest,
4887 ^ over spirits unclean,
4899 ^ -
4901 ^ of the twelve apostles the names
4920 ^ of zebedee,
4922 ^ and john
4937 ^ - of alphaeus,
4939 ^ and thaddaeus;
4941 ^ simon
4980 ^ of [the] house of israel.
4990 ^ of the heavens.
5030 ^ of the provisions of him.
5105 ^ of the feet of you!
5113 ^ for [the] land
5114 ^ of sodom
5115 ^ and of gomorrah
5172 ^ to them
5173 ^ and to the gentiles.
5204 ^ of the father of you
5265 ^ of israel
5272 ^ of man.
5287 ^ for the disciple
5392 ^ of you
5397 ^ of the head all
5486 ^ of the man
5583 ^ the little ones of these
5631 ^ of the christ,
5722 ^ - of kings
5766 ^ than john
5775 ^ of the heavens,
5784 ^ of john
5791 ^ of the heavens
5830 ^ little children
5863 ^ - of man
5875 ^ of tax collectors a friend
5877 ^ and of sinners!
5992 ^ of the heaven
5994 ^ and the earth,
6154 ^ - of god,
6159 ^ of the presentation
6224 ^ of the sabbath
6228 ^ of man.
6458 ^ of the demons.
6534 ^ - of god.
6544 ^ of the strong [man]
6591 ^ against [the] spirit blasphemy
6604 ^ - of man,
6668 ^ of the heart,
6726 ^ of the scribes
6728 ^ and pharisees,
6757 ^ of jonah
6767 ^ of the great fish
6778 ^ - of man
6783 ^ of the earth
6832 ^ of the earth
6896 ^ of the man that
6900 ^ than the first.
6986 ^ the father of me
7154 ^ of the kingdom
7156 ^ of the heavens;
7220 ^ of the people this,
7297 ^ of the kingdom
7372 ^ - [the] present age
7374 ^ and the deceit
7377 ^ - of riches
7422 ^ of the heavens,
7447 ^ of the wheat,
7468 ^ the master of the house
7525 ^ of the harvest
7560 ^ of the heavens
7562 ^ to a grain of mustard,
7576 ^ of all the seeds;
7583 ^ than the garden plants
7593 ^ of the air
7609 ^ of the heavens
7611 ^ to leaven,
7677 ^ of the weeds
7679 ^ of the field.
7693 ^ - of man;
7709 ^ of the kingdom;
7717 ^ of the evil [one];
7752 ^ of the age.
7757 ^ - of man
7782 ^ of the fire;
7791 ^ of teeth.
7803 ^ of the father of them.
7814 ^ of the heavens
7816 ^ treasure
7846 ^ of the heavens
7848 ^ a man,
7871 ^ of the heavens
7873 ^ a dragnet
7907 ^ of the age;
7918 ^ of the righteous,
7926 ^ of the fire.
7935 ^ of the teeth.
7954 ^ of the heavens
7958 ^ a man,
8009 ^ of the carpenter son?
8126 ^ of philip,
8155 ^ - of herod,
8160 ^ - of herodias
8193 ^ of john
8389 ^ of the fragments,
8464 ^ of the night,
8606 ^ the place of that
8630 ^ of the garment of him;
8655 ^ of the elders?
8678 ^ - of god
8729 ^ - of god
8924 ^ of tyre
8925 ^ and sidon.
8981 ^ of [the] house of israel.
9002 ^ of the children,
9026 ^ of the masters of them.
9063 ^ - of galilee;
9216 ^ of the fragments,
9286 ^ of the sky
9293 ^ of the times,
9338 ^ of the pharisees
9340 ^ and sadducees.
9373 ^ for the five thousand,
9383 ^ for the four thousand,
9403 ^ of the pharisees
9405 ^ and sadducees?
9416 ^ of bread,
9422 ^ of the pharisees
9424 ^ and sadducees.
9433 ^ of caesarea
9434 ^ - philippi,
9448 ^ of man?
9466 ^ of the prophets.
9487 ^ of god
9543 ^ of the kingdom
9545 ^ of the heavens;
9649 ^ - of god,
9653 ^ things of men.
9718 ^ the soul of him?
9725 ^ of the man
9731 ^ the father of him,
9765 ^ - of man
9935 ^ - of man
9987 ^ - of man
10150 ^ - of man
10206 ^ of the earth,
10284 ^ of the heavens?
10313 ^ of the heavens.
10330 ^ of the heavens.
10350 ^ of the little ones
10372 ^ of the sea.
10463 ^ of the fire.
10469 ^ of the little ones of these.
10486 ^ of the father of me,
10554 ^ of the little ones of these.
10594 ^ of two witnesses
10727 ^ of the heavens
10747 ^ of ten thousand talents.
10789 ^ of the servant that
10806 ^ the fellow servants of him
10953 ^ - of judea
11098 ^ of the man
11100 ^ with the wife,
11145 ^ of the heavens.
11187 ^ of the heavens.
11329 ^ of the heavens.
11348 ^ of god.
11414 ^ - of man
11418 ^ of glory of him,
11430 ^ - of israel.
11472 ^ of the heavens
11474 ^ to a man,
11580 ^ of the vineyard
11640 ^ to us
11647 ^ of the day
11649 ^ and the scorching heat.
11734 ^ - of man
11767 ^ of the sons of zebedee
11876 ^ of the gentiles
11915 ^ - of man
12021 ^ - of olives,
12197 ^ - of galilee.
12218 ^ of the money changers
12300 ^ of babes
12388 ^ of the fig tree
12428 ^ of the people,
12582 ^ of the father?
12605 ^ - of god.
12668 ^ of the fruits,
12702 ^ than the first,
12756 ^ of the vineyard,
12823 ^ - of god,
12887 ^ of the heavens
13004 ^ of the highways,
13088 ^ of the teeth.
13126 ^ - of god
13171 ^ of the tribute.
13201 ^ - of god
13291 ^ of which
13292 ^ of the seven
13314 ^ - of god.
13335 ^ of the dead,
13588 ^ - of men;
13714 ^ of the heavens
13774 ^ of the temple
13865 ^ - of god
13893 ^ of the law:
13930 ^ of the cup
13932 ^ and of the dish;
13948 ^ of the cup
13993 ^ of hypocrisy
13994 ^ and lawlessness.
14006 ^ of the prophets
14012 ^ of the righteous;
14021 ^ of the fathers of us,
14032 ^ of the prophets.
14049 ^ of the fathers of you.
14060 ^ - of hell?
14107 ^ of abel
14113 ^ of zechariah
14207 ^ of the temple.
14237 ^ - of olives,
14255 ^ - of your coming
14258 ^ and of the consummation
14260 ^ of the age?
14372 ^ of the many.
14386 ^ of the kingdom
14394 ^ to all the nations;
14407 ^ - of desolation,’
14583 ^ of the son
14585 ^ - of man.
14601 ^ the days of those:
14625 ^ of the heavens
14633 ^ of the son
14635 ^ - of man
14645 ^ of the earth,
14651 ^ - of man
14657 ^ - of heaven
14764 ^ of the heavens,
14778 ^ - of noah,
14784 ^ of the son
14786 ^ - of man.
14828 ^ of the son
14830 ^ - of man.
14900 ^ - of man
14980 ^ the servant of that
15012 ^ of teeth.
15018 ^ of the heavens
15030 ^ the bridegroom.
15251 ^ of the master of him.
15261 ^ of the servants those
15313 ^ of the master of you!
15356 ^ of the master of you!
15485 ^ of the teeth.
15492 ^ - of man
15508 ^ of glory of him.
15649 ^ of these the brothers of me
15749 ^ of these the least,
15792 ^ - of man
15805 ^ of the people
15810 ^ of the high priest,
15845 ^ of simon
15853 ^ fragrant oil very costly,
15949 ^ of the twelve,
15984 ^ of the unleavened [bread],
16093 ^ - of man
16109 ^ - of man
16175 ^ of me,
16176 ^ of the covenant,
16197 ^ of the vine,
16212 ^ of the father of me.
16221 ^ - of olives.
16246 ^ of the flock.’
16492 ^ - of man
16512 ^ of the twelve,
16529 ^ of the people.
16580 ^ of those
16594 ^ of the high priest,
16685 ^ of the prophets.
16721 ^ of the high priest.
16765 ^ - of god,
16810 ^ - of god.
16826 ^ - of man
16831 ^ - of power
16838 ^ - of heaven.”
16992 ^ of jesus,
17017 ^ of the people
17101 ^ of the potter,
17105 ^ for the strangers.
17146 ^ of the potter,
17169 ^ of the jews?
17407 ^ of the governor,
17453 ^ of the jews!
17554 ^ of the jews.
17594 ^ - of god,
17747 ^ of the temple
17771 ^ of the
17842 ^ - of james
17844 ^ and joseph mother,
17847 ^ and the mother
17850 ^ of the sons of zebedee.
17876 ^ - of jesus.
17913 ^ of the tomb,
17990 ^ than the first.
18192 ^ of the guard,
18313 ^ of the father,
18315 ^ and of the son,
18318 ^ and of the holy spirit,
18341 ^ of the age.
18344 ^ of the gospel
18346 ^ of jesus
18459 ^ of the sandals of him.
18483 ^ - of galilee,
18571 ^ - of god
18583 ^ - of god;
18596 ^ - of galilee,
18639 ^ - of zebedee,
18641 ^ and john
18733 ^ - of god!
18795 ^ - of galilee.
18807 ^ of simon
18808 ^ and andrew,
19126 ^ of the scribes
19200 ^ - of man
19266 ^ - of alphaeus
19310 ^ of the pharisees,
19376 ^ of the pharisees
19394 ^ of the bridechamber,
19432 ^ of cloth unshrunk
19539 ^ - of god
19547 ^ of the presentation
19586 ^ - of man
19589 ^ of the sabbath.
19654 ^ of the heart of them,
19716 ^ the jordan,
19718 ^ and around tyre
19721 ^ and sidon.
19777 ^ - of god.
19837 ^ of zebedee,
19839 ^ and john
19843 ^ - of james,
19867 ^ - of alphaeus,
19869 ^ and thaddaeus,
19871 ^ and simon
19926 ^ of the demons
19989 ^ of the strong man
20016 ^ the of men,
20018 ^ the sins
20020 ^ and the blasphemies,
20044 ^ [of] eternal sin.
20126 ^ - of god,
20309 ^ of the kingdom
20311 ^ - of god.
20438 ^ - of this age,
20440 ^ and the deceit
20443 ^ of the riches,
20445 ^ and -
20564 ^ - of god,
20624 ^ - of god?
20643 ^ of all the seeds
20657 ^ than all the garden plants,
20672 ^ of the air
20823 ^ of the sea,
20825 ^ to the region
20828 ^ of the gerasenes.
20924 ^ - of god
21167 ^ of the synagogue rulers,
21169 ^ named jairus,
21269 ^ of the blood of her,
21420 ^ of the ruler of the synagogue,
21454 ^ of the child,
21456 ^ and the mother,
21459 ^ and those
21473 ^ of the child,
21570 ^ - of mary,
21572 ^ and brother
21574 ^ of james
21575 ^ and joseph
21577 ^ and judas
21579 ^ and simon?
21661 ^ over the spirits
21723 ^ which [is] under
21725 ^ the feet of you,
21788 ^ of the prophets.
21818 ^ of philip
21838 ^ of the brother of you.
21897 ^ - of galilee,
21903 ^ of him herodias,
21938 ^ of the kingdom of me.
21954 ^ of john
21976 ^ of john
22270 ^ twelve hand-baskets full,
22273 ^ and of the fish.
22323 ^ of the sea,
22347 ^ of the night
22486 ^ the clothing of him
22504 ^ of the scribes,
22512 ^ of the disciples of him
22542 ^ of the elders;
22560 ^ of cups
22561 ^ and vessels
22563 ^ and utensils
22565 ^ and couches for dining.
22585 ^ of the elders,
22633 ^ - of god,
22638 ^ - of men.”
22647 ^ - of god,
22706 ^ - of god
22827 ^ - of men
22882 ^ of whom
22886 ^ of her
22901 ^ by race,
22929 ^ of the children,
22952 ^ of the children.
22999 ^ - of galilee
23001 ^ through [the] midst
23003 ^ of the region of [the] decapolis.
23065 ^ of the tongue of him,
23319 ^ of the pharisees,
23321 ^ and of the leaven of herod.
23386 ^ of how many baskets [the] fillings
23389 ^ of fragments
23418 ^ of the blind [man],
23491 ^ of caesarea
23492 ^ - philippi.
23526 ^ of the prophets.
23563 ^ - of man
23618 ^ things of god,
23622 ^ things of men.
23692 ^ for the soul of him?
23715 ^ - of man
23724 ^ of the father of him,
23754 ^ - of god
23898 ^ - of man
23945 ^ - of man,
24141 ^ of the child
24261 ^ - of man
24348 ^ - of such little children
24448 ^ of the little ones
24546 ^ - of god,
24599 ^ - of judea,
24601 ^ and beyond
24603 ^ the jordan.
24780 ^ - of god.
24791 ^ - of god
24936 ^ - of god
24961 ^ - of god
24970 ^ of the needle
24978 ^ - of god
25130 ^ - of man
25338 ^ - of man
25488 ^ - of olives,
25492 ^ of the disciples of him
25632 ^ of the father of us, david!
25738 ^ of the money changers
25740 ^ and the seats
26079 ^ of the vineyard.
26164 ^ of the vineyard?
26226 ^ of the pharisees,
26228 ^ and of the herodians,
26261 ^ - of god
26319 ^ - of god,
26414 ^ of which of them
26439 ^ - of god?
26501 ^ of the scribes,
26541 ^ the heart of you,
26544 ^ and with all
26547 ^ the soul of you,
26550 ^ and with all
26553 ^ the mind of you,
26556 ^ and with all
26559 ^ the strength of you.’
26601 ^ the heart
26603 ^ and with all
26606 ^ the understanding
26608 ^ and with all
26611 ^ the strength,
26622 ^ than all the burnt offerings
26625 ^ and sacrifices.
26643 ^ - of god.
26748 ^ of the widows,
26842 ^ of the disciples of him,
26879 ^ - of olives,
27068 ^ of the desolation
27146 ^ of creation,
27257 ^ - of man
27415 ^ of the house
27471 ^ of the people.
27481 ^ of simon
27490 ^ of fragrant oil
27512 ^ of the fragrant oil
27602 ^ of the twelve,
27631 ^ - of unleavened [bread],
27653 ^ of the disciples of him
27769 ^ the twelve,
27782 ^ - of man
27798 ^ - of man
27845 ^ of me
27846 ^ of the covenant,
27863 ^ of the vine,
27876 ^ - of god.
27884 ^ - of olives.
28132 ^ - of man
28137 ^ of the sinful.
28154 ^ of the twelve,
28156 ^ and
28221 ^ of the high priest
28316 ^ of the high priest;
28432 ^ of the blessed [one]?
28444 ^ - of man
28449 ^ of power,
28456 ^ of heaven.
28518 ^ of the servant girls
28520 ^ of the high priest,
28668 ^ of the jews?
28751 ^ of the jews?
28789 ^ of the jews?
28864 ^ of the jews!
28912 ^ of alexander
28913 ^ and rufus,
28967 ^ of the accusation against him
28973 ^ of the jews.
29131 ^ of the temple
29176 ^ of james
29227 ^ - of god,
29238 ^ - of jesus.
29290 ^ of the tomb.
29314 ^ - of james,
29316 ^ and salome,
29329 ^ of the week,
29350 ^ of the tomb?
29593 ^ - of god.
29641 ^ of eternal salvation.
29666 ^ of the word,
29691 ^ of herod
29693 ^ - of judea
29728 ^ of the lord
29758 ^ of the division of him
29767 ^ of the priesthood,
29776 ^ of the lord.
29783 ^ of the people
29789 ^ of the incense.
29799 ^ of the altar
29801 ^ of the incense.
29873 ^ of [the] mother of him.
29877 ^ of the sons of israel
30026 ^ of the service of him,
30079 ^ - of galilee,
30097 ^ of the virgin
30167 ^ of david,
30181 ^ of the kingdom of him
30305 ^ - of mary
30336 ^ of the womb of you.
30347 ^ of the lord of me
30358 ^ of the greeting of you
30411 ^ of the handmaiden of him.
30454 ^ of heart of them.
30553 ^ of the father of him,
30634 ^ - of judea
30679 ^ - of israel,
30696 ^ of david
30782 ^ of [the] sins of them,
30786 ^ of compassion
30787 ^ of god of us,
30826 ^ of appearance of him
30947 ^ - by night
31016 ^ of [the] host heavenly,
31173 ^ of the purification of them
31198 ^ to the lord
31236 ^ - of israel,
31286 ^ by the law
31327 ^ of all the peoples,
31336 ^ of [the] people of you, israel.
31371 ^ of many
31380 ^ of you
31382 ^ of her the soul
31495 ^ of the passover.
31507 ^ of the feast,
31569 ^ of the teachers,
31627 ^ of the father of me
31684 ^ of the reign
31686 ^ of tiberius caesar,
31716 ^ of annas
31717 ^ and caiaphas,
31736 ^ of the jordan,
31748 ^ of [the] words
31749 ^ of isaiah
31793 ^ - of god.”
31817 ^ - of repentance;
31852 ^ of the trees
31981 ^ of the sandals of him;
32038 ^ of the brother of him,
32041 ^ and concerning all
32271 ^ of [the] spirit holy,
32311 ^ - of god,
32343 ^ of the world
32407 ^ of the temple,
32415 ^ - of god,
32478 ^ of the spirit
32518 ^ of the sabbaths,
32530 ^ the prophet isaiah,
32578 ^ of all the eyes
32611 ^ of the grace
32709 ^ - of sidon,
32755 ^ of the hill
32778 ^ - of galilee.
32808 ^ of a demon unclean;
32830 ^ - of god.
32890 ^ of the surrounding region.
32904 ^ - of simon
32968 ^ - of god.
33022 ^ - of god;
33034 ^ - of judea.
33048 ^ of god,
33079 ^ of the boats,
33200 ^ of the fish
33215 ^ - with simon.
33251 ^ of the cities,
33345 ^ of the days
33363 ^ - of galilee,
33365 ^ and of judea,
33367 ^ and of jerusalem.
33496 ^ - of man
33664 ^ of the pharisees;
33682 ^ of the bridechamber
33810 ^ of the pharisees
33846 ^ - of god,
33851 ^ of the presentation
33874 ^ of the sabbath
33878 ^ - of man.
34013 ^ - to god.
34082 ^ of disciples of him,
34084 ^ and a multitude great
34087 ^ of the people
34089 ^ from all - judea,
34093 ^ and jerusalem,
34095 ^ and the sea coast
34098 ^ of tyre,
34099 ^ and sidon,
34152 ^ - of god.
34189 ^ - of man.
34496 ^ of the brother of you,
34552 ^ of the brother of you
34597 ^ of the [his] heart
34650 ^ to a man
34690 ^ to a man
34709 ^ of the house that
34722 ^ of the people,
34727 ^ of a centurion
34729 ^ a certain servant,
34748 ^ of the jews,
34923 ^ of the town,
34931 ^ of the mother of him;
34940 ^ of the town, considerable,
35038 ^ - disciples of him,
35217 ^ of god,
35245 ^ - of god
35259 ^ of the generation this?
35268 ^ to little children
35305 ^ - of man,
35318 ^ of tax collectors
35319 ^ and of sinners.
35334 ^ of the pharisees,
35345 ^ of the pharisee,
35364 ^ of the pharisee,
35387 ^ of the head of her,
35620 ^ - of god.
35650 ^ of chuza,
35703 ^ of the air
35726 ^ of the thorns,
35774 ^ of the kingdom
35776 ^ - of god;
35801 ^ - of god.
35871 ^ - of life,
36010 ^ - of god
36012 ^ are hearing
36019 ^ of the days
36038 ^ of the lake.
36114 ^ of the gerasenes,
36167 ^ - of god,
36242 ^ of pigs many
36344 ^ of the surrounding region
36346 ^ of the gerasenes
36427 ^ of the synagogue
36435 ^ - of jesus,
36489 ^ the of cloak of him,
36497 ^ of the blood of her.
36625 ^ of the child,
36627 ^ and the mother.
36711 ^ - of god
36813 ^ of the ancients
36866 ^ - of god,
37036 ^ of the ancients,
37054 ^ - of god.
37069 ^ - of man
37158 ^ - of man
37166 ^ of himself,
37167 ^ and of the father,
37170 ^ and of the holy angels.
37193 ^ - of god.
37224 ^ of the face of him
37495 ^ - of god.
37521 ^ - of man
37568 ^ of the heart of them,
37750 ^ of the air
37798 ^ - of god.
37836 ^ for the kingdom
37838 ^ - of god.
37883 ^ of the harvest,
37960 ^ of the wages of him.
37996 ^ - of god.
38036 ^ - of god.
38041 ^ for sodom
38048 ^ than the city for that.
38080 ^ for tyre
38081 ^ and sidon, more tolerable
38166 ^ of the enemy,
38210 ^ of the heaven
38212 ^ and of the earth,
38505 ^ of these - three
38565 ^ of the lord,
38640 ^ of the disciples of him
38890 ^ of the demons
38979 ^ - of god.
39078 ^ of the man that
39082 ^ than the first.
39119 ^ - of god
39159 ^ - of man
39173 ^ of the generation this,
39184 ^ of the earth
39241 ^ of your body
39340 ^ of the cup
39342 ^ and of the dish
39397 ^ - of god.
39443 ^ of the lawyers
39470 ^ of the fingers of you,
39483 ^ of the prophets,
39498 ^ of the fathers of you.
39514 ^ - of god
39533 ^ of all the prophets
39550 ^ of zechariah,
39575 ^ of the knowledge.
39613 ^ of the crowd
39633 ^ of the pharisees.
39733 ^ of the head of you all
39758 ^ - of man
39766 ^ - of god;
39779 ^ - of god.
39789 ^ - of man,
39897 ^ of a man
40011 ^ the food,
40126 ^ of the world
40208 ^ to men
40294 ^ - of man
40393 ^ of the servant that
40426 ^ of the master of him
40579 ^ of the earth
40581 ^ and of the sky
40825 ^ of the synagogues
40905 ^ of the sabbath.
40956 ^ of the sabbath?
40987 ^ - of god?
40995 ^ to a grain of mustard,
41013 ^ of the air
41027 ^ - of god?
41152 ^ of the teeth
41168 ^ - of god;
41170 ^ you
41171 ^ however
41190 ^ - of god.
41322 ^ of one
41323 ^ of the rulers
41325 ^ of the pharisees
41388 ^ the sabbath?
41548 ^ of the righteous.
41565 ^ - of god.
41586 ^ of the supper
41670 ^ of the city,
41721 ^ the men
42085 ^ - of god
42111 ^ of the property.
42160 ^ of the citizens
42162 ^ the country of that,
42195 ^ of the father of me
42232 ^ of the servants of you.
42359 ^ of the servants,
42517 ^ of the stewardship of you;
42566 ^ of the debtors
42568 ^ of the master of him,
42626 ^ - unrighteous,
42634 ^ of the age this
42641 ^ of the light
42659 ^ - of unrighteousness,
42793 ^ - of god
42867 ^ of the rich man;
42936 ^ of the finger of him
43014 ^ of the father of me —
43033 ^ - of torment.
43134 ^ in the day
43262 ^ of samaria
43263 ^ and galilee.
43376 ^ - of god,
43386 ^ - of god
43400 ^ - of god
43415 ^ of the days
43417 ^ of the son
43419 ^ - of man
43456 ^ - of man
43487 ^ of the son
43489 ^ of man:
43547 ^ - of man
43739 ^ - unrighteous
43750 ^ of the elect of him,
43775 ^ - of man
43835 ^ of the men —
43848 ^ in the week;
43939 ^ - of god.
43950 ^ - of god
44068 ^ - of god
44084 ^ - of god
44142 ^ - of god,
44182 ^ - of man.
44470 ^ - of man
44498 ^ - of god
44780 ^ of the disciples,
44886 ^ of the mount
44888 ^ - of olives,
44894 ^ of the disciples,
44925 ^ of the pharisees
44927 ^ from the crowd
45019 ^ the of visitation of you.
45068 ^ of the people.
45087 ^ of the days,
45233 ^ of the vineyard
45271 ^ of the vineyard,
45317 ^ of the vineyard?
45420 ^ of the governor.
45442 ^ - of god
45484 ^ - of god
45507 ^ of the sadducees,
45584 ^ of which of them
45601 ^ of the age this
45677 ^ of the scribes
45774 ^ of widows,
46125 ^ to the people this.
46166 ^ [the] roaring
46167 ^ of [the] sea
46168 ^ and rolling surge,
46183 ^ of the heavens
46191 ^ - of man
46253 ^ - of god.
46315 ^ of all the earth.
46337 ^ - of man.
46374 ^ of unleavened [bread],
46406 ^ of the twelve.
46442 ^ of unleavened [bread]
46498 ^ of the house,
46575 ^ - of god.
46601 ^ of the vine,
46607 ^ - of god
46672 ^ of man,
46720 ^ of the gentiles
46810 ^ of israel.
46962 ^ - of olives;
47035 ^ of blood,
47077 ^ of the twelve,
47095 ^ - of man
47153 ^ of the temple,
47155 ^ and elders,
47189 ^ of the darkness.
47200 ^ of the high priest.
47212 ^ of the courtyard,
47315 ^ of the lord,
47367 ^ of the people,
47369 ^ chief priests both
47371 ^ and scribes,
47410 ^ - of man
47415 ^ of the power
47417 ^ - of god.
47427 ^ - of god?
47497 ^ of the jews?
47851 ^ of the people,
47853 ^ and of women,
48000 ^ - of god,
48021 ^ of the jews,
48033 ^ of the jews
48038 ^ of the
48132 ^ of the temple
48229 ^ of the jews,
48235 ^ - of god.
48244 ^ - of jesus.
48307 ^ of the week,
48333 ^ of the lord jesus.
48391 ^ - of man
48398 ^ of men sinful,
48675 ^ of those
48702 ^ - of heart
48869 ^ of the bread.
49056 ^ of the father of me
49168 ^ - of men.
49302 ^ as of an only begotten
49307 ^ of grace
49308 ^ and truth.
49370 ^ of the father,
49379 ^ - of john,
49514 ^ of him the strap
49517 ^ of the sandal.
49544 ^ - of god,
49550 ^ of the world.
49644 ^ - of god.
49667 ^ - of god!
49729 ^ of simon peter,
49732 ^ of the two
49808 ^ of andrew
49809 ^ and peter.
49830 ^ - of joseph,
49832 ^ -
49902 ^ - of god;
49907 ^ - of israel.
49941 ^ - of god
49949 ^ - of man.”
49960 ^ - of galilee,
49966 ^ - of jesus
49987 ^ - of jesus
50030 ^ of the jews,
50116 ^ of the signs,
50122 ^ - of galilee,
50165 ^ of the jews,
50228 ^ of the father of me
50242 ^ of the house of you
50301 ^ of the body of him.
50392 ^ of the jews;
50445 ^ - of god.”
50463 ^ of the mother of him
50490 ^ - of god.
50560 ^ - of israel,
50614 ^ - of man.
50630 ^ - of man,
50705 ^ of the only begotten son
50708 ^ - of god.
50909 ^ of the bridegroom,
50921 ^ of the bridegroom.
50994 ^ - of god
51035 ^ - of god
51087 ^ - of samaria
51106 ^ - of jacob.
51181 ^ - of god,
51226 ^ the father of us jacob,
51289 ^ of water,
51690 ^ of the samaritans,
51695 ^ of the woman
51751 ^ of the world.
51808 ^ - of galilee,
51981 ^ of the jews,
52251 ^ to god.
52409 ^ of the son
52411 ^ - of god,
52582 ^ that of john.
52681 ^ - of god
52692 ^ of the father of me,
52777 ^ - of galilee —
52779 ^ - of tiberias.
52815 ^ of the jews.
52869 ^ of the disciples of him,
52876 ^ of simon peter,
52956 ^ of fragments
53223 ^ - of man
53244 ^ - of god?
53256 ^ - of god,
53332 ^ - of god
53364 ^ - of life;
53457 ^ of the father of me,
53604 ^ - of life.
53669 ^ of the world life.
53702 ^ of the son
53704 ^ - of man,
53855 ^ - of man
53964 ^ of life eternal
53977 ^ - of god.
53999 ^ [son] of simon iscariot;
54037 ^ of the jews,
54222 ^ of the jews.
54592 ^ among the greeks
54628 ^ of the feast,
54658 ^ of water
54876 ^ - of olives.
55043 ^ of the world;
55058 ^ - of life.
55353 ^ - of man,
55460 ^ of the sin.
55537 ^ - of abraham
55542 ^ - of abraham
55569 ^ of the father of you.
55641 ^ of father of you,
55710 ^ - of god
55820 ^ the father of us abraham,
55978 ^ - of god
56006 ^ of the world.
56034 ^ - of siloam,
56248 ^ of him
56424 ^ - of moses
56492 ^ of [one] blind
56536 ^ of man?”
56644 ^ of the sheep,
56662 ^ of the sheep.
56749 ^ of the sheep.
57017 ^ - of solomon.
57058 ^ of the father of me,
57128 ^ the father.
57207 ^ - of god
57232 ^ - of god
57240 ^ of the father of me,
57336 ^ of mary
57337 ^ and martha,
57391 ^ - of god,
57397 ^ - of god
57473 ^ the world of this
57533 ^ - of sleep
57731 ^ - of god,
57896 ^ of the blind,
57954 ^ - of god?
58109 ^ the year same,
58145 ^ the year that,
58167 ^ - of god,
58215 ^ of the jews,
58277 ^ the passover,
58314 ^ of fragrant oil
58321 ^ - of jesus
58338 ^ of the oil.
58346 ^ of the disciples of him,
58397 ^ of the burial of me
58456 ^ of the jews
58483 ^ of the palm trees
58502 ^ - of israel!”
58622 ^ - of galilee,
58661 ^ - of man.
58671 ^ - of wheat,
58805 ^ the world of this;
58811 ^ of the world this
58860 ^ - of man?
58867 ^ - of man?
58936 ^ of isaiah
59022 ^ - of men
59028 ^ - of god.
59167 ^ of the passover,
59211 ^ [son] of simon iscariot,
59257 ^ of the disciples,
59446 ^ the master of him,
59561 ^ - of jesus,
59586 ^ - of jesus,
59614 ^ [son] of simon iscariot.
59690 ^ - of man,
59843 ^ of the father of me,
60108 ^ - of truth,
60375 ^ of this world ruler,
60584 ^ the father of me
60768 ^ the master of him.
60882 ^ - of truth,
61056 ^ of the world this
61076 ^ - of truth,
61513 ^ over all flesh,
61719 ^ - of destruction,
61993 ^ - of kidron,
62143 ^ of the high priest servant,
62156 ^ of the servant
62191 ^ of the jews
62207 ^ - of caiaphas,
62212 ^ the year same.
62245 ^ to the high priest,
62254 ^ of the high priest.
62272 ^ to the high priest,
62297 ^ of the man this?
62391 ^ of the officers
62457 ^ of the high priest,
62568 ^ - of jesus
62597 ^ of the jews?
62756 ^ of the jews?
62806 ^ of the jews!
