a-apf	adjective, accusative, plural, feminine
a-npn	adjective, nominative, plural, neuter
a-npn-c	adjective, nominative, plural, neuter, comparative
a-npn-nui	adjective, nominative, plural, neuter, numerical indiclinable (a)
a-npn-s	adjective, nominative, plural, neuter, superlative
a-nsf	adjective, nominative, singular, feminine
a-nsf-c	adjective, nominative, singular, feminine, comparative
a-nsf-lg	adjective, nominative, singular, feminine, location gentilic
a-nsm	adjective, nominative, singular, masculine
a-nsm-c	adjective, nominative, singular, masculine, comparative
a-nsm-lg	adjective, nominative, singular, masculine, location gentilic
a-nsm-pg	adjective, nominative, singular, masculine, person gentilic
a-nsm-s	adjective, nominative, singular, masculine, superlative
a-nsn	adjective, nominative, singular, neuter
a-nsn-c	adjective, nominative, singular, neuter, comparative
a-nui	indeclinable numeral (adjective)
a-vpf	adjective, vocative, plural, feminine
a-vpm	adjective, vocative, plural, masculine
a-vpm-c	adjective, vocative, plural, masculine, comparative
a-vpm-pg	adjective, vocative, plural, masculine, person gentilic
a-vpn	adjective, vocative, plural, neuter
a-vsf	adjective, vocative, singular, feminine
a-vsm	adjective, vocative, singular, masculine
a-vsn	adjective, vocative, singular, neuter
adv	adverb or adverb and particle combined
adv-c	adverb, contracted form
adv-i	adverb, interrogative
adv-k	adverb, kai
adv-n	adverb, negative
aram	aramaic transliterated word (indeclinable)
c-apm	reciprocal pronoun, accusative, plural, masculine
c-dpm	reciprocal pronoun, dative, plural, masculine
c-dpn	reciprocal pronoun, dative, plural, neuter
c-gpm	reciprocal pronoun, genitive, plural, masculine
conj	conjunction or conjunctive particle
conj-n	conjunction, negative
d-apf	demonstrative pronoun, accusative, plural, feminine
d-apm	demonstrative pronoun, accusative, plural, masculine
d-apn	demonstrative pronoun, accusative, plural, neuter
d-asf	demonstrative pronoun, accusative, singular, feminine
d-asm	demonstrative pronoun, accusative, singular, masculine
d-asn	demonstrative pronoun, accusative, singular, neuter
d-dpf	demonstrative pronoun, dative, plural, feminine
d-dpm	demonstrative pronoun, dative, plural, masculine
d-dpn	demonstrative pronoun, dative, plural, neuter
d-dsf	demonstrative pronoun, dative, singular, feminine
d-dsm	demonstrative pronoun, dative, singular, masculine
d-dsn	demonstrative pronoun, dative, singular, neuter
d-gpf	demonstrative pronoun, genitive, plural, feminine
d-gpm	demonstrative pronoun, genitive, plural, masculine
d-gpn	demonstrative pronoun, genitive, plural, neuter
d-gsf	demonstrative pronoun, genitive, singular, feminine
d-gsm	demonstrative pronoun, genitive, singular, masculine
d-gsn	demonstrative pronoun, genitive, singular, neuter
d-npf	demonstrative pronoun, nominative, plural, feminine
d-npm	demonstrative pronoun, nominative, plural, masculine
d-npn	demonstrative pronoun, nominative, plural, neuter
d-nsf	demonstrative pronoun, nominative, singular, feminine
d-nsm	demonstrative pronoun, nominative, singular, masculine
d-nsn	demonstrative pronoun, nominative, singular, neuter
f-1apm	reflexive pronoun, first, accusative, plural, masculine
f-1asm	reflexive pronoun, first, accusative, singular, masculine
f-1dpm	reflexive pronoun, first, dative, plural, masculine
f-1dsm	reflexive pronoun, first, dative, singular, masculine
f-1gpm	reflexive pronoun, first, genitive, plural, masculine
f-1gsm	reflexive pronoun, first, genitive, singular, masculine
f-2apf	reflexive pronoun, second, accusative, plural, feminine
f-2apm	reflexive pronoun, second, accusative, plural, masculine
f-2apn	reflexive pronoun, second, accusative, plural, neuter
f-2asm	reflexive pronoun, second, accusative, singular, masculine
f-2dpf	reflexive pronoun, second, dative, plural, feminine
f-2dpm	reflexive pronoun, second, dative, plural, masculine
f-2dsm	reflexive pronoun, second, dative, singular, masculine
f-2gpm	reflexive pronoun, second, genitive, plural, masculine
f-2gsm	reflexive pronoun, second, genitive, singular, masculine
f-3apf	reflexive pronoun, third, accusative, plural, feminine
f-3apm	reflexive pronoun, third, accusative, plural, masculine
f-3asf	reflexive pronoun, third, accusative, singular, feminine
f-3asm	reflexive pronoun, third, accusative, singular, masculine
f-3dpm	reflexive pronoun, third, dative, plural, masculine
f-3dsf	reflexive pronoun, third, dative, singular, feminine
f-3dsm	reflexive pronoun, third, dative, singular, masculine
f-3gpf	reflexive pronoun, third, genitive, plural, feminine
f-3gpm	reflexive pronoun, third, genitive, plural, masculine
f-3gpn	reflexive pronoun, third, genitive, plural, neuter
f-3gsf	reflexive pronoun, third, genitive, singular, feminine
f-3gsm	reflexive pronoun, third, genitive, singular, masculine
f-3gsn	reflexive pronoun, third, genitive, singular, neuter
heb	hebrew transliterated word (indeclinable)
heb-t	hebrew, title
i-apf	interrogative pronoun, accusative, plural, feminine
i-apm	interrogative pronoun, accusative, plural, masculine
i-apn	interrogative pronoun, accusative, plural, neuter
i-asf	interrogative pronoun, accusative, singular, feminine
i-asm	interrogative pronoun, accusative, singular, masculine
i-asn	interrogative pronoun, accusative, singular, neuter
i-dpm	interrogative pronoun, dative, plural, masculine
i-dpn	interrogative pronoun, dative, plural, neuter
i-dsf	interrogative pronoun, dative, singular, feminine
i-dsm	interrogative pronoun, dative, singular, masculine
i-dsn	interrogative pronoun, dative, singular, neuter
i-gpm	interrogative pronoun, genitive, plural, masculine
i-gpn	interrogative pronoun, genitive, plural, neuter
i-gsf	interrogative pronoun, genitive, singular, feminine
i-gsm	interrogative pronoun, genitive, singular, masculine
i-gsn	interrogative pronoun, genitive, singular, neuter
i-npf	interrogative pronoun, nominative, plural, feminine
i-npm	interrogative pronoun, nominative, plural, masculine
i-npn	interrogative pronoun, nominative, plural, neuter
i-nsf	interrogative pronoun, nominative, singular, feminine
i-nsm	interrogative pronoun, nominative, singular, masculine
i-nsn	interrogative pronoun, nominative, singular, neuter
inj	interjection
k-apm	correlative pronoun, accusative, plural, masculine
k-apn	correlative pronoun, accusative, plural, neuter
k-asm	correlative pronoun, accusative, singular, masculine
k-asn	correlative pronoun, accusative, singular, neuter
k-dsn	correlative pronoun, dative, singular, neuter
k-gpm	correlative pronoun, genitive, plural, masculine
k-npf	correlative pronoun, nominative, plural, feminine
k-npm	correlative pronoun, nominative, plural, masculine
k-npn	correlative pronoun, nominative, plural, neuter
k-nsf	correlative pronoun, nominative, singular, feminine
k-nsm	correlative pronoun, nominative, singular, masculine
k-nsn	correlative pronoun, nominative, singular, neuter
n-apf	noun, accusative, plural, feminine
n-apf-l	noun, accusative, plural, feminine, location
n-apm	noun, accusative, plural, masculine
n-apm-l	noun, accusative, plural, masculine, location
n-apm-lg	noun, accusative, plural, masculine, location gentilic
n-apm-p	noun, accusative, plural, masculine, person
n-apm-pg	noun, accusative, plural, masculine, person gentilic
n-apm-t	noun, accusative, plural, masculine, title
n-apn	noun, accusative, plural, neuter
n-apn-l	noun, accusative, plural, neuter, location
n-asf	noun, accusative, singular, feminine
n-asf-l	noun, accusative, singular, feminine, location
n-asf-p	noun, accusative, singular, feminine, person
n-asf-t	noun, accusative, singular, feminine, title
n-asm	noun, accusative, singular, masculine
n-asm-l	noun, accusative, singular, masculine, location
n-asm-lg	noun, accusative, singular, masculine, location gentilic
n-asm-p	noun, accusative, singular, masculine, person
n-asm-t	noun, accusative, singular, masculine, title
n-asn	noun, accusative, singular, neuter
n-asn-l	noun, accusative, singular, neuter, location
n-dpf	noun, dative, plural, feminine
n-dpf-l	noun, dative, plural, feminine, location
n-dpm	noun, dative, plural, masculine
n-dpm-l	noun, dative, plural, masculine, location
n-dpm-lg	noun, dative, plural, masculine, location gentilic
n-dpm-t	noun, dative, plural, masculine, title
n-dpn	noun, dative, plural, neuter
n-dpn-l	noun, dative, plural, neuter, location
n-dsf	noun, dative, singular, feminine
n-dsf-l	noun, dative, singular, feminine, location
n-dsf-lg	noun, dative, singular, feminine, location gentilic
n-dsf-p	noun, dative, singular, feminine, person
n-dsf-t	noun, dative, singular, feminine, title
n-dsm	noun, dative, singular, masculine
n-dsm-l	noun, dative, singular, masculine, location
n-dsm-lg	noun, dative, singular, masculine, location gentilic
n-dsm-p	noun, dative, singular, masculine, person
n-dsm-t	noun, dative, singular, masculine, title
n-dsn	noun, dative, singular, neuter
n-dsn-l	noun, dative, singular, neuter, location
n-gpf	noun, genitive, plural, feminine
n-gpf-l	noun, genitive, plural, feminine, location
n-gpf-lg	noun, genitive, plural, feminine, location gentilic
n-gpm	noun, genitive, plural, masculine
n-gpm-l	noun, genitive, plural, masculine, location
n-gpm-lg	noun, genitive, plural, masculine, location gentilic
n-gpm-pg	noun, genitive, plural, masculine, person gentilic
n-gpm-t	noun, genitive, plural, masculine, title
n-gpn	noun, genitive, plural, neuter
n-gpn-l	noun, genitive, plural, neuter, location
n-gsf	noun, genitive, singular, feminine
n-gsf-l	noun, genitive, singular, feminine, location
n-gsf-lg	noun, genitive, singular, feminine, location gentilic
n-gsf-p	noun, genitive, singular, feminine, person
n-gsf-t	noun, genitive, singular, feminine, title
n-gsm	noun, genitive, singular, masculine
n-gsm-l	noun, genitive, singular, masculine, location
n-gsm-lg	noun, genitive, singular, masculine, location gentilic
n-gsm-p	noun, genitive, singular, masculine, person
n-gsm-pg	noun, genitive, singular, masculine, person gentilic
n-gsm-t	noun, genitive, singular, masculine, title
n-gsn	noun, genitive, singular, neuter
n-gsn-l	noun, genitive, singular, neuter, location
n-npf	noun, nominative, plural, feminine
n-npm	noun, nominative, plural, masculine
n-npm-l	noun, nominative, plural, masculine, location
n-npm-lg	noun, nominative, plural, masculine, location gentilic
n-npm-pg	noun, nominative, plural, masculine, person gentilic
n-npm-t	noun, nominative, plural, masculine, title
n-npn	noun, nominative, plural, neuter
n-npn-l	noun, nominative, plural, neuter, location
n-npn-t	noun, nominative, plural, neuter, title
n-nsf	noun, nominative, singular, feminine
n-nsf-l	noun, nominative, singular, feminine, location
n-nsf-lg	noun, nominative, singular, feminine, location gentilic
n-nsf-p	noun, nominative, singular, feminine, person
n-nsf-t	noun, nominative, singular, feminine, title
n-nsm	noun, nominative, singular, masculine
n-nsm-l	noun, nominative, singular, masculine, location
n-nsm-lg	noun, nominative, singular, masculine, location gentilic
n-nsm-p	noun, nominative, singular, masculine, person
n-nsm-pg	noun, nominative, singular, masculine, person gentilic
n-nsm-t	noun, nominative, singular, masculine, title
n-nsn	noun, nominative, singular, neuter
n-nsn-l	noun, nominative, singular, neuter, location
n-nsn-li	noun, nominative, singular, neuter, letter indeclinable (n)
n-nsn-t	noun, nominative, singular, neuter, title
n-vpf	noun, vocative, plural, feminine
n-vpm	noun, vocative, plural, masculine
n-vpm-lg	noun, vocative, plural, masculine, location gentilic
n-vpm-pg	noun, vocative, plural, masculine, person gentilic
n-vpm-t	noun, vocative, plural, masculine, title
n-vpn	noun, vocative, plural, neuter
n-vsf	noun, vocative, singular, feminine
n-vsf-l	noun, vocative, singular, feminine, location
n-vsf-p	noun, vocative, singular, feminine, person
n-vsm	noun, vocative, singular, masculine
n-vsm-l	noun, vocative, singular, masculine, location
n-vsm-p	noun, vocative, singular, masculine, person
n-vsm-t	noun, vocative, singular, masculine, title
n-vsn	noun, vocative, singular, neuter
p-1ap	personal pronoun, first, accusative, plural
p-1as	personal pronoun, first, accusative, singular
p-1as-k	personal pronoun, first, accusative, singular, kai
p-1dp	personal pronoun, first, dative, plural
p-1ds	personal pronoun, first, dative, singular
p-1ds-k	personal pronoun, first, dative, singular, kai
p-1gp	personal pronoun, first, genitive, plural
p-1gs	personal pronoun, first, genitive, singular
p-1np	personal pronoun, first, nominative, plural
p-1ns	personal pronoun, first, nominative, singular
p-1ns-k	personal pronoun, first, nominative, singular, kai
p-2ap	personal pronoun, second, accusative, plural
p-2as	personal pronoun, second, accusative, singular
p-2dp	personal pronoun, second, dative, plural
p-2ds	personal pronoun, second, dative, singular
p-2gp	personal pronoun, second, genitive, plural
p-2gs	personal pronoun, second, genitive, singular
p-2np	personal pronoun, second, nominative, plural
p-2ns	personal pronoun, second, nominative, singular
p-apf	personal pronoun, accusative, plural, feminine
p-apm	personal pronoun, accusative, plural, masculine
p-apn	personal pronoun, accusative, plural, neuter
p-asf	personal pronoun, accusative, singular, feminine
p-asm	personal pronoun, accusative, singular, masculine
p-asn	personal pronoun, accusative, singular, neuter
p-dpf	personal pronoun, dative, plural, feminine
p-dpm	personal pronoun, dative, plural, masculine
p-dpn	personal pronoun, dative, plural, neuter
p-dsf	personal pronoun, dative, singular, feminine
p-dsm	personal pronoun, dative, singular, masculine
p-dsn	personal pronoun, dative, singular, neuter
p-gpf	personal pronoun, genitive, plural, feminine
p-gpm	personal pronoun, genitive, plural, masculine
p-gpn	personal pronoun, genitive, plural, neuter
p-gsf	personal pronoun, genitive, singular, feminine
p-gsm	personal pronoun, genitive, singular, masculine
p-gsn	personal pronoun, genitive, singular, neuter
p-npm	personal pronoun, nominative, plural, masculine
p-npn	personal pronoun, nominative, plural, neuter
p-nsf	personal pronoun, nominative, singular, feminine
p-nsm	personal pronoun, nominative, singular, masculine
p-nsn	personal pronoun, nominative, singular, neuter
prep	preposition
prt	particle, disjunctive particle
prt-i	particle, interrogative
prt-n	particle, negative
q-apf	correlative or interrogative pronoun, accusative, plural, feminine
q-apm	correlative or interrogative pronoun, accusative, plural, masculine
q-apn	correlative or interrogative pronoun, accusative, plural, neuter
q-asf	correlative or interrogative pronoun, accusative, singular, feminine
q-asn	correlative or interrogative pronoun, accusative, singular, neuter
q-dsn	correlative or interrogative pronoun, dative, singular, neuter
q-gpf	correlative or interrogative pronoun, genitive, plural, feminine
q-npf	correlative or interrogative pronoun, nominative, plural, feminine
q-npm	correlative or interrogative pronoun, nominative, plural, masculine
q-nsm	correlative or interrogative pronoun, nominative, singular, masculine
q-nsn	correlative or interrogative pronoun, nominative, singular, neuter
r-apf	relative pronoun, accusative, plural, feminine
r-apm	relative pronoun, accusative, plural, masculine
r-apn	relative pronoun, accusative, plural, neuter
r-asf	relative pronoun, accusative, singular, feminine
r-asm	relative pronoun, accusative, singular, masculine
r-asn	relative pronoun, accusative, singular, neuter
r-dpf	relative pronoun, dative, plural, feminine
r-dpm	relative pronoun, dative, plural, masculine
r-dpn	relative pronoun, dative, plural, neuter
r-dsf	relative pronoun, dative, singular, feminine
r-dsm	relative pronoun, dative, singular, masculine
r-dsn	relative pronoun, dative, singular, neuter
r-gpf	relative pronoun, genitive, plural, feminine
r-gpm	relative pronoun, genitive, plural, masculine
r-gpn	relative pronoun, genitive, plural, neuter
r-gsf	relative pronoun, genitive, singular, feminine
r-gsm	relative pronoun, genitive, singular, masculine
r-gsn	relative pronoun, genitive, singular, neuter
r-npf	relative pronoun, nominative, plural, feminine
r-npm	relative pronoun, nominative, plural, masculine
r-npn	relative pronoun, nominative, plural, neuter
r-nsf	relative pronoun, nominative, singular, feminine
r-nsm	relative pronoun, nominative, singular, masculine
r-nsn	relative pronoun, nominative, singular, neuter
s-1pasf	possessive pronoun, first, plural, accusative, singular, feminine
s-1pdpf	possessive pronoun, first, plural, dative, plural, feminine
s-1pdpm	possessive pronoun, first, plural, dative, plural, masculine
s-1pgpf	possessive pronoun, first, plural, genitive, plural, feminine
s-1pgsf	possessive pronoun, first, plural, genitive, singular, feminine
s-1pnpm	possessive pronoun, first, plural, nominative, plural, masculine
s-1pnsf	possessive pronoun, first, plural, nominative, singular, feminine
s-1sapf	possessive pronoun, first, singular, accusative, plural, feminine
s-1sapm	possessive pronoun, first, singular, accusative, plural, masculine
s-1sapn	possessive pronoun, first, singular, accusative, plural, neuter
s-1sasf	possessive pronoun, first, singular, accusative, singular, feminine
s-1sasm	possessive pronoun, first, singular, accusative, singular, masculine
s-1sasn	possessive pronoun, first, singular, accusative, singular, neuter
s-1sdpn	possessive pronoun, first, singular, dative, plural, neuter
s-1sdsf	possessive pronoun, first, singular, dative, singular, feminine
s-1sdsm	possessive pronoun, first, singular, dative, singular, masculine
s-1sdsn	possessive pronoun, first, singular, dative, singular, neuter
s-1sgpn	possessive pronoun, first, singular, genitive, plural, neuter
s-1sgsf	possessive pronoun, first, singular, genitive, singular, feminine
s-1sgsn	possessive pronoun, first, singular, genitive, singular, neuter
s-1snpm	possessive pronoun, first, singular, nominative, plural, masculine
s-1snpn	possessive pronoun, first, singular, nominative, plural, neuter
s-1snsf	possessive pronoun, first, singular, nominative, singular, feminine
s-1snsm	possessive pronoun, first, singular, nominative, singular, masculine
s-1snsn	possessive pronoun, first, singular, nominative, singular, neuter
s-2sapm	possessive pronoun, second, singular, accusative, plural, masculine
s-2sapn	possessive pronoun, second, singular, accusative, plural, neuter
s-2sasf	possessive pronoun, second, singular, accusative, singular, feminine
s-2sasn	possessive pronoun, second, singular, accusative, singular, neuter
s-2sdsf	possessive pronoun, second, singular, dative, singular, feminine
s-2sdsm	possessive pronoun, second, singular, dative, singular, masculine
s-2sdsn	possessive pronoun, second, singular, dative, singular, neuter
s-2sgsf	possessive pronoun, second, singular, genitive, singular, feminine
s-2snpm	possessive pronoun, second, singular, nominative, plural, masculine
s-2snpn	possessive pronoun, second, singular, nominative, plural, neuter
s-2snsm	possessive pronoun, second, singular, nominative, singular, masculine
s-2snsn	possessive pronoun, second, singular, nominative, singular, neuter
t-apf	definite article, accusative, plural, feminine
t-apm	definite article, accusative, plural, masculine
t-apn	definite article, accusative, plural, neuter
t-asf	definite article, accusative, singular, feminine
t-asm	definite article, accusative, singular, masculine
t-asn	definite article, accusative, singular, neuter
t-dpf	definite article, dative, plural, feminine
t-dpm	definite article, dative, plural, masculine
t-dpn	definite article, dative, plural, neuter
t-dsf	definite article, dative, singular, feminine
t-dsm	definite article, dative, singular, masculine
t-dsn	definite article, dative, singular, neuter
t-gpf	definite article, genitive, plural, feminine
t-gpm	definite article, genitive, plural, masculine
t-gpn	definite article, genitive, plural, neuter
t-gsf	definite article, genitive, singular, feminine
t-gsm	definite article, genitive, singular, masculine
t-gsn	definite article, genitive, singular, neuter
t-npf	definite article, nominative, plural, feminine
t-npm	definite article, nominative, plural, masculine
t-npn	definite article, nominative, plural, neuter
t-nsf	definite article, nominative, singular, feminine
t-nsm	definite article, nominative, singular, masculine
t-nsn	definite article, nominative, singular, neuter
t-vpf	definite article, vocative, plural, feminine
t-vpm	definite article, vocative, plural, masculine
t-vpn	definite article, vocative, plural, neuter
t-vsf	definite article, vocative, singular, feminine
t-vsm	definite article, vocative, singular, masculine
t-vsn	definite article, vocative, singular, neuter
v-2aai-1p	verb, second aorist, active, indicative, first, plural
v-2aai-1s	verb, second aorist, active, indicative, first, singular
v-2aai-2p	verb, second aorist, active, indicative, second, plural
v-2aai-2s	verb, second aorist, active, indicative, second, singular
v-2aai-3p	verb, second aorist, active, indicative, third, plural
v-2aai-3s	verb, second aorist, active, indicative, third, singular
v-2aam-2p	verb, second aorist, active, imperative, second, plural
v-2aam-2s	verb, second aorist, active, imperative, second, singular
v-2aam-3p	verb, second aorist, active, imperative, third, plural
v-2aam-3s	verb, second aorist, active, imperative, third, singular
v-2aan	verb, second aorist, active, infinitive
v-2aao-3p	verb, second aorist, active, optative, third, plural
v-2aao-3s	verb, second aorist, active, optative, third, singular
v-2aap-apf	verb, second aorist, active, participle, accusative, plural, feminine
v-2aap-apm	verb, second aorist, active, participle, accusative, plural, masculine
v-2aap-asf	verb, second aorist, active, participle, accusative, singular, feminine
v-2aap-asm	verb, second aorist, active, participle, accusative, singular, masculine
v-2aap-asn	verb, second aorist, active, participle, accusative, singular, neuter
v-2aap-dpf	verb, second aorist, active, participle, dative, plural, feminine
v-2aap-dpm	verb, second aorist, active, participle, dative, plural, masculine
v-2aap-dsf	verb, second aorist, active, participle, dative, singular, feminine
v-2aap-dsm	verb, second aorist, active, participle, dative, singular, masculine
v-2aap-gpm	verb, second aorist, active, participle, genitive, plural, masculine
v-2aap-gsf	verb, second aorist, active, participle, genitive, singular, feminine
v-2aap-gsm	verb, second aorist, active, participle, genitive, singular, masculine
v-2aap-gsn	verb, second aorist, active, participle, genitive, singular, neuter
v-2aap-npf	verb, second aorist, active, participle, nominative, plural, feminine
v-2aap-npm	verb, second aorist, active, participle, nominative, plural, masculine
v-2aap-npn	verb, second aorist, active, participle, nominative, plural, neuter
v-2aap-nsf	verb, second aorist, active, participle, nominative, singular, feminine
v-2aap-nsm	verb, second aorist, active, participle, nominative, singular, masculine
v-2aap-nsn	verb, second aorist, active, participle, nominative, singular, neuter
v-2aas-1p	verb, second aorist, active, subjunctive, first, plural
v-2aas-1s	verb, second aorist, active, subjunctive, first, singular
v-2aas-2p	verb, second aorist, active, subjunctive, second, plural
v-2aas-2s	verb, second aorist, active, subjunctive, second, singular
v-2aas-3p	verb, second aorist, active, subjunctive, third, plural
v-2aas-3s	verb, second aorist, active, subjunctive, third, singular
v-2adi-1s	verb, second aorist, middle deponent, indicative, first, singular
v-2adi-2p	verb, second aorist, middle deponent, indicative, second, plural
v-2adi-2s	verb, second aorist, middle deponent, indicative, second, singular
v-2adi-3p	verb, second aorist, middle deponent, indicative, third, plural
v-2adi-3s	verb, second aorist, middle deponent, indicative, third, singular
v-2adm-2s	verb, second aorist, middle deponent, imperative, second, singular
v-2adm-3s	verb, second aorist, middle deponent, imperative, third, singular
v-2adn	verb, second aorist, middle deponent, infinitive
v-2ado-1s	verb, second aorist, middle deponent, optative, first, singular
v-2ado-3s	verb, second aorist, middle deponent, optative, third, singular
v-2adp-apm	verb, second aorist, middle deponent, participle, accusative, plural, masculine
v-2adp-apn	verb, second aorist, middle deponent, participle, accusative, plural, neuter
v-2adp-asf	verb, second aorist, middle deponent, participle, accusative, singular, feminine
v-2adp-asm	verb, second aorist, middle deponent, participle, accusative, singular, masculine
v-2adp-asn	verb, second aorist, middle deponent, participle, accusative, singular, neuter
v-2adp-dpm	verb, second aorist, middle deponent, participle, dative, plural, masculine
v-2adp-dpn	verb, second aorist, middle deponent, participle, dative, plural, neuter
v-2adp-gpf	verb, second aorist, middle deponent, participle, genitive, plural, feminine
v-2adp-gpm	verb, second aorist, middle deponent, participle, genitive, plural, masculine
v-2adp-gpn	verb, second aorist, middle deponent, participle, genitive, plural, neuter
v-2adp-gsf	verb, second aorist, middle deponent, participle, genitive, singular, feminine
v-2adp-gsm	verb, second aorist, middle deponent, participle, genitive, singular, masculine
v-2adp-gsn	verb, second aorist, middle deponent, participle, genitive, singular, neuter
v-2adp-npf	verb, second aorist, middle deponent, participle, nominative, plural, feminine
v-2adp-npm	verb, second aorist, middle deponent, participle, nominative, plural, masculine
v-2adp-nsm	verb, second aorist, middle deponent, participle, nominative, singular, masculine
v-2ads-1p	verb, second aorist, middle deponent, subjunctive, first, plural
v-2ads-1s	verb, second aorist, middle deponent, subjunctive, first, singular
v-2ads-2p	verb, second aorist, middle deponent, subjunctive, second, plural
v-2ads-3p	verb, second aorist, middle deponent, subjunctive, third, plural
v-2ads-3s	verb, second aorist, middle deponent, subjunctive, third, singular
v-2ami-1p	verb, second aorist, middle, indicative, first, plural
v-2ami-1s	verb, second aorist, middle, indicative, first, singular
v-2ami-2p	verb, second aorist, middle, indicative, second, plural
v-2ami-2s	verb, second aorist, middle, indicative, second, singular
v-2ami-3p	verb, second aorist, middle, indicative, third, plural
v-2ami-3s	verb, second aorist, middle, indicative, third, singular
v-2amm-2p	verb, second aorist, middle, imperative, second, plural
v-2amm-2s	verb, second aorist, middle, imperative, second, singular
v-2amn	verb, second aorist, middle, infinitive
v-2amp-gsm	verb, second aorist, middle, participle, genitive, singular, masculine
v-2amp-npm	verb, second aorist, middle, participle, nominative, plural, masculine
v-2amp-nsm	verb, second aorist, middle, participle, nominative, singular, masculine
v-2ams-1p	verb, second aorist, middle, subjunctive, first, plural
v-2ams-1s	verb, second aorist, middle, subjunctive, first, singular
v-2ams-2s	verb, second aorist, middle, subjunctive, second, singular
v-2ams-3p	verb, second aorist, middle, subjunctive, third, plural
v-2ams-3s	verb, second aorist, middle, subjunctive, third, singular
v-2aoi-1p	verb, second aorist, passive deponent, indicative, first, plural
